; fac_no_faction|No Faction
; fac_commoners|Commoners
; fac_outlaws|Outlaws
fac_neutral|Neutrální
fac_innocents|Nevinní
fac_merchants|Obchodníci
; fac_player_faction|Player Faction
; fac_player_supporters_faction|Player's Supporters
; fac_kingdom_1|Kingdom of Swadia
; fac_kingdom_2|Kingdom of Vaegirs
fac_kingdom_3|Khergický chanát
fac_kingdom_4|Království nordů
; fac_kingdom_5|Kingdom of Rhodoks
fac_kingdom_6|Sarradinský sultanát
fac_manhunters|Lovci lidí
fac_deserters|Dezertéři
; fac_mountain_bandits|Mountain Bandits
fac_forest_bandits|Lesní bandité
; fac_ccoop_all_stars|All Stars
