imod_plain|Obyčejný %s
imod_cracked|Naštípnutý %s
imod_rusty|Rezavý %s
imod_bent|Ohnutý %s
; imod_chipped|Chipped %s
; imod_battered|Battered %s
; imod_poor|Poor %s
; imod_crude|Crude %s
imod_old|Starý %s
imod_cheap|Laciný %s
; imod_fine|Fine %s
; imod_well_made|Well Made %s
imod_sharp|Ostrý %s
imod_balanced|Balancovaný %s
; imod_tempered|Tempered %s
imod_deadly|Vražedný %s
; imod_exquisite|Exquisite %s
; imod_masterwork|Masterwork %s
imod_heavy|Těžký %s
; imod_strong|Strong %s
; imod_powerful|Powerful %s
; imod_tattered|Tattered %s
; imod_ragged|Ragged %s
; imod_rough|Rough %s
; imod_sturdy|Sturdy %s
; imod_thick|Thick %s
; imod_hardened|Hardened %s
; imod_reinforced|Reinforced %s
; imod_superb|Superb %s
; imod_lordly|Lordly %s
; imod_lame|Lame %s
; imod_swaybacked|Swaybacked %s
; imod_stubborn|Stubborn %s
; imod_timid|Timid %s
; imod_meek|Meek %s
; imod_spirited|Spirited %s
; imod_champion|Champion %s
imod_fresh|Čerství %s
imod_day_old|Jeden den starý %s
imod_two_day_old|Dva dny starý %s
; imod_smelling|Smelling %s
; imod_rotten|Rotten %s
; imod_large_bag|Large Bag of %s
