dlga_award_fief_to_vassal:award_fief_to_vassal_defer|Je tiens à reporter la nomination d'un seigneur jusqu'à ce que je prenne conseil auprès de mes sujets.
dlga_award_fief_to_vassal_defer:close_window|Comme il vous plaira {monsieur/madame}, vous pouvez décider de reporter cela à une date ultérieure.
dlga_award_fief_to_vassal_2:close_window|Bien {monsieur/madame}, {reg6?je serai:{reg7?vous serez:{s11} sera}} {reg3?la nouvelle dame:le nouveau seigneur} de {s1}.
dlga_event_triggered:center_captured_rebellion|Personne ne gère {s1}, à qui confier cette responsabilité ?
dlga_center_captured_rebellion:center_captured_rebellion_2|{s11}. {s1}
dlga_center_captured_rebellion:center_captured_rebellion_2.1|S'il vous plaît {s65}, j'aimerais que l'on me confie {s1}. (fiefs : {s0})
dlga_center_captured_rebellion:center_captured_rebellion_2.2|{s66}, vous devriez vous réserver {s1}. (fiefs : {s0})
dlga_center_captured_rebellion_2:close_window|Très bien {playername}, j'apprécie fort votre conseil. {reg6?Je serai:{reg7?Vous serez:{s11} sera}} {reg3?la nouvelle dame:le nouveau seigneur} de {s1}.
dlga_start:fighter_talk|Bonjour, nous peaufinons ici nos techniques de combat. Il semblerait qu'un peu d'entraînement ne vous ferait pas de mal. Joignez-vous à nous pour apprendre quelques astuces. Et si vous avez besoin d'explications, j'espère pouvoir vous donner satisfaction.
dlga_start:fighter_talk.1|Quel entraînement souhaitez-vous pratiquer ?
dlga_fighter_pretalk:fighter_talk|Dites-moi, quel entraînement souhaitez-vous suivre ?
dlga_fighter_talk:fighter_talk_train_attack|Je souhaite améliorer l'attaque.
dlga_fighter_talk:fighter_talk_train_parry|Je souhaite m'entraîner à parer avec mon arme.
dlga_fighter_talk:fighter_talk_train_combat|Entraînons-nous au corps à corps.
dlga_fighter_talk:close_window|[Quitter]
dlga_fighter_talk_train_attack:fighter_talk_train_attack_2|Très bien, vous pourrez porter quatre types de coups, vers la gauche, vers la droite, vertical et l'estoc. À présent je vais vous indiquer la direction de l'attaque, puis ce sera à vous. ^^(Déplacez votre souris tout en appuyant sur le bouton gauche pour orienter la direction de l'attaque. Par exemple, pour une attaque verticale, déplacez la souris vers le haut au moment où vous appuyez sur le bouton gauche de la souris. Les icônes qui s'affichent à l'écran sont là pour vous guider.)
dlga_fighter_talk_train_attack_2:close_window|Commençons, je suis {prêt/prête}.
dlga_fighter_talk_train_attack_2:fighter_pretalk|En fait, j'aimerais faire autre chose.
dlga_fighter_talk_train_parry:fighter_talk_train_parry_2|Contrairement aux boucliers, parer avec une arme ne peut stopper qu'une attaque venant d'une seule direction. Par exemple si vous parez vers le haut, vous bloquerez les attaques verticales, mais vous n'êtes pas à l'abri des coups latéraux ou d'estoc. ^^(Pour bloquer, vous devez appuyer sur le bouton droit de la souris et le maintenir enfoncé.)
dlga_fighter_talk_train_parry_2:fighter_talk_train_parry_3|Je vais maintenant combiner différents coups et attendre avant d'attaquer que vous adoptiez le blocage qui convient. Essayez d'utiliser le bon blocage dès que possible. ^^(Cet entraînement est facilité par le paramètre par défaut de direction de blocage automatique. Si vous accédez au menu Options et modifiez le contrôle de direction de défense sur 'mouvement de la souris' ou 'clavier', vous devrez choisir manuellement la direction de blocage. Certes, c'est plus difficile, mais également plus intéressant. Cet entraînement peut s'avérer très utile si vous utilisez le blocage manuel.)
dlga_fighter_talk_train_parry_3:close_window|Alors commençons, je suis {prêt/prête}.
dlga_fighter_talk_train_parry_3:fighter_pretalk|J'aimerais faire autre chose.
dlga_fighter_talk_train_combat:fighter_talk_train_combat_2|Le corps à corps constitue un excellent moyen de se préparer au combat. Nous commencerons par nous battre avec des armes non mortelles, jusqu'à ce que l'un de nous tombe à terre. Certes, vous garderez peut-être quelques bleus, mais c'est mieux que de vous faire massacrer en situation de combat réel.
dlga_fighter_talk_train_combat_2:close_window|Alors commençons, je suis {prêt/prête}.
dlga_fighter_talk_train_combat_2:fighter_pretalk|J'aimerais faire autre chose.
dlga_start:fighter_parry_try_again|Parfait, vous avez brillamment paré mes attaques. Vous pouvez renouveler l'entraînement pour gagner en rapidité jusqu'à ce que vous ayez confiance en vos qualités défensives. Voulez-vous réessayer ?
dlga_start:fighter_parry_try_again.1|Eh bien ce n'était pas vraiment ça, hein ? (N'oubliez pas qu'il vous faut appuyer sur le bouton droit de la souris et le maintenir enfoncé pour un blocage efficace.) Voulez-vous réessayer ?
dlga_fighter_parry_try_again:fighter_talk_train_parry|Oui, recommençons.
dlga_fighter_parry_try_again:fighter_talk_leave_parry|Non, cela doit suffir.
dlga_start:fighter_parry_warn|Hé, vous êtes {censé/censée} parer, pas m'attaquer en retour.
dlga_fighter_parry_warn:fighter_talk_train_parry|Excusez-moi, réessayons.
dlga_fighter_parry_warn:fighter_talk_leave_parry|Excusez-moi, je dois interrompre cet entraînement.
dlga_fighter_talk_leave_parry:close_window|Très bien, comme vous voudrez.
dlga_start:fighter_combat_try_again|Eh bien, ce n'était pas vraiment ça, hein ? Ne vous découragez pas et tâchez de ne pas faire les mêmes erreurs la prochaine fois. Voulez-vous réessayer ?
dlga_fighter_combat_try_again:fighter_talk_train_combat|Oui, recommençons.
dlga_fighter_combat_try_again:fighter_talk_leave_combat|Non, cela doit suffir.
dlga_fighter_talk_leave_combat:close_window|Très bien, si vous changez d'avis, revenez me voir.
dlga_start:fighter_combat_try_again.1|Hé, joli corps à corps. Vous m'avez battu, mais la prochaine fois je ferai plus attention. Voulez-vous réessayer ?
dlga_start:fighter_talk.2|Très bien, vous avez appris l'attaque dans toutes les directions. Si vous voulez on peut recommencer ou passer à autre chose.
dlga_start:archer_challenge_2|Pas mal, pas mal du tout ! Visiblement, vous avez compris les principes de base de l'archerie. À présent, essayez d'en faire de même avec une arbalète. Prenez l'arbalète et les carreaux situés là-bas et visez ces trois cibles. L'arbalète est plus facile à manier que l'arc, mais il faut la recharger après chaque tir.
dlga_start:archer_challenge_2.1|Parfait, vous maniez plutôt bien l'arbalète. Maintenant vous allez apprendre à manier les armes de jet. Prenez les javelots situés là-bas et essayez d'atteindre ces trois cibles.
