menu_start_game_0|Bienvenue dans Mount and Blade Warband v1.158 en français, maj de BerTolkien !^^Avant de commencer à jouer, il vous faut créer votre personnage. Rappelez-vous que dans une société médiévale traditionnelle (comme celle de Calradia), la guerre et la politique sont en général régentées par la noblesse. Mais rien ne vous empêche de jouer une femme ou un roturier. ^Un aristocrate débutera sa partie plus facilement, mais les autres peuvent atteindre les mêmes buts, cela peut même se révéler plus intéressant à jouer si on aime les défis !
mno_continue|Continuer
mno_go_back|Retour
menu_start_phase_2|Bien des légendes sont contées sur Calradia, une terre déchirée entre plusieurs royaumes rivaux se disputant l'hégémonie, un refuge pour les chevaliers, les mercenaires et les baroudeurs, prêts à tout pour la gloire, la fortune ou le pouvoir. ^C'est en ce pays dangereux mais rempli d'opportunité que vous comptez tirer un trait sur votre passé et entamer votre nouvelle vie. Votre destin vous appartient, ainsi que vos choix. Quels qu'ils soient, ils vous mèneront vers de grandes aventures !^Avec exaltation, vous décidez d'accompagner une expédition marchande dont la ville de destination est :
mno_town_1|    Praven, Royaume de Swadia
mno_town_2|    Reyvadin, Royaume Vaegir
mno_town_3|    Tulga, Khanat Khergit
mno_town_4|    Sargoth, Royaume du Nord
mno_town_5|    Jelkala, Royaume Rhodok
mno_town_6|    Shariz, Sultanat Sarranides
menu_start_game_3|Choisissez un scénario
menu_tutorial|Vous approchez d'un terrain où des individus s'entraînent au combat. Vous pouvez vous exercer ici.
mno_go_back_dot|Retour
menu_reports|Renommée du héros : {reg5}^Honneur : {reg6}^Moral du groupe : {reg8}^Limite taille du groupe : {reg7}^
mno_view_character_report|Statut du héros
mno_view_party_size_report|Rapport sur la limite du groupe
mno_view_npc_mission_report|Rapport de mission des compagnons
mno_view_weekly_budget_report|Rapport financier hebdomadaire
mno_view_morale_report|Rapport sur le moral des troupes
mno_lord_relations|Relations avec les seigneurs connus
mno_courtship_relations|Relations de séduction
mno_view_faction_relations_report|Relations avec les factions
mno_resume_travelling|Lever le camp
menu_custom_battle_scene|(Non transcrit)
menu_custom_battle_end|La bataille est terminée. Ennemis vaincus, {reg5}. ^Vos pertes s'élèvent à {reg6}. ^Ennemis à votre actif, {reg7}.
menu_start_game_1|Sélectionnez le sexe de votre personnage
mno_start_male|Homme
mno_start_female|Femme
menu_start_character_1|Vous avez vu le jour il y a bien des années dans un pays lointain. Votre père était...
mno_start_noble|Un noble désargenté
mno_start_merchant|Un marchand itinérant
mno_start_guard|Un guerrier vétéran
mno_start_forester|Un chasseur
mno_start_nomad|Un nomade des steppes
mno_start_thief|Un voleur
menu_start_character_2|{s10}^^ Vous avez découvert le monde dès que vous avez su marcher et parler. Vous avez débuté comme...
mno_page|Page à la cour d'un noble
mno_apprentice|Apprenti{reg3?e:} chez un artisan
mno_stockboy|Assistant{reg3?e:} chez un marchand
mno_urchin|Gamin{reg3?e:} des rues
mno_nomad|Adolescent{reg3?e:} des steppes
menu_start_character_3|{s11}^^ Puis, jeune adulte, votre vie a pris un autre chemin pour devenir...
mno_squire|Écuy{reg3?ère:er}
mno_lady|Dame d'honneur
mno_troubadour|Troubadour
mno_student|Étudiant{reg3?e:}
mno_peddler|Colport{reg3?euse:eur}
mno_craftsman|Forgeron{reg3?ne:}
mno_poacher|Braconni{reg3?ère:er}
menu_start_character_4|{s12}^^Mais un beau jour vous avez décidé de partir à l'aventure. Votre motivation fut...
mno_revenge|Une vengeance à assouvir
mno_death|La perte d'une personne chère
mno_wanderlust|L'appel de l'aventure
mno_disown|Le fait qu'on vous chasse de chez vous
mno_greed|La soif d'argent et de pouvoir
menu_choose_skill|{s13}
mno_begin_adventuring|À l'aventure, compagnon !
menu_past_life_explanation|{s3}
mno_view_next|{s5}
menu_morale_report|{s1}
menu_courtship_relations|{s1}
menu_lord_relations|{s1}
menu_companion_report|{s7}{s1}
menu_character_report|{s9}
menu_party_size_report|{s1}
menu_faction_relations_report|{s1}
menu_camp|Vous avez établi un campement, que souhaitez-vous faire ?
mno_camp_action|Choisir une action
mno_camp_wait_here|Rester ici jusqu'à nouvel ordre
mno_camp_cheat|MENU DE TRICHE !
menu_camp_cheat|Choisir une triche :
mno_camp_cheat_find_item|Obtenir un objet.
menu_camp_action|Décider de :
mno_camp_recruit_prisoners|Recruter parmi vos prisonniers
mno_action_read_book|Lire un livre
mno_action_rename_kingdom|Renommer votre royaume
mno_action_retire|Prendre votre retraite
mno_camp_action_4|Retourner au campement
menu_camp_recruit_prisoners|Offrir aux prisonniers de vous rejoindre. {s18}
mno_camp_recruit_prisoners_accept|Accepter
mno_camp_recruit_prisoners_reject|Refuser
menu_camp_no_prisoners|Vous n'avez pas de prisonnier
menu_camp_action_read_book|Choisir un livre à lire :
mno_action_read_book_1|{s1}
mno_action_read_book_2|{s1}
mno_action_read_book_3|{s1}
mno_action_read_book_4|{s1}
mno_action_read_book_5|{s1}
mno_action_read_book_6|{s1}
mno_action_read_book_7|{s1}
menu_camp_action_read_book_start|{s1}
menu_retirement_verify|Cela fait {reg0} jours qu'a débuté votre aventure, votre fortune actuelle est de {reg1}. ^Voulez-vous vraiment prendre votre retraite ?
mno_retire_yes|Oui
mno_retire_no|Non
menu_end_game|Vous avez pris votre décision et vous avez décidé de vous ranger de la vie d'aventurier. ^Vous vendez vos armes et votre armure, rassemblez vos économies et chevauchez tranquillement vers le soleil couchant...
mno_end_game_bye|Adieu
menu_cattle_herd|Vous croisez un troupeau de bovins.
mno_cattle_drive_away|Faire avancer le troupeau
mno_cattle_stop|Arrêter le troupeau
mno_cattle_kill|Abattre des bêtes
mno_leave|Partir
menu_cattle_herd_kill|Combien de bêtes souhaitez-vous abattre ?
mno_cattle_kill_1|Une
mno_cattle_kill_2|Deux
mno_cattle_kill_3|Trois
mno_cattle_kill_4|Quatre
mno_cattle_kill_5|Cinq
menu_arena_duel_fight|Vous vous préparez tous deux à vous battre en duel
menu_simple_encounter|{s2} Vous êtes {reg10} en état de se battre contre l'ennemi au nombre de {reg11}.
mno_encounter_attack|Attaquer l'ennemi
mno_encounter_order_attack|Ordonner à vos troupes d'engager le combat sans vous
mno_encounter_leave|Quitter
mno_encounter_retreat|Se replier (laisser des soldats pour couvrir la retraite)
mno_encounter_surrender|Capituler
menu_encounter_retreat_confirm|En tant que meilleur tacticien de votre troupe, (Niveau {reg2}), {reg3?vous planifiez:{s3} planifie} une manœuvre de repli, mais qui implique la diversion et le sacrifice de {reg4} soldats.
mno_leave_behind|Battre en retraite, le sacrifice sauvera leurs frères d'armes
mno_dont_leave_behind|Non, nous ne laisserons personne derrière
menu_encounter_retreat|Vous ordonnez à {reg4} de vos soldats de couvrir votre fuite.
menu_order_attack_begin|Vos troupes se préparent à attaquer l'ennemi.
mno_order_attack_begin|Sonner la charge
mno_call_back|Rappeler vos hommes
menu_order_attack_2|{s4}^^Vos pertes : {s8}^^Pertes ennemies : {s9}
mno_order_attack_continue|Ordonner à vos troupes de lancer un nouvel assaut
mno_order_retreat|Rappeler vos hommes
menu_battle_debrief|{s11}^^Vos pertes : {s8}{s10}^^Pertes ennemies : {s9}
menu_total_victory|Vous ne devriez pas lire cela. {s9}
menu_enemy_slipped_away|{s17}
menu_permanent_damage|{s0}
mno_s0|{s0}
menu_pre_join|{s2} et {s1} s'affrontent. ^Vous décidez de...
mno_pre_join_help_attackers|Vous battre avec {s2}
mno_pre_join_help_defenders|Aider {s1}
mno_pre_join_leave|Éviter l'affrontement
menu_join_battle|Vous aidez {s2} contre {s1}. Vous êtes {reg10} en état d'affronter l'ennemi au nombre de {reg11}.
mno_join_attack|Attaquer l'ennemi
mno_join_order_attack|Ordonner à vos troupes d'engager le combat sans vous
mno_join_leave|Fuir le champ de bataille
menu_join_order_attack|{s4}^^Vos pertes : {s8}^^Pertes alliées : {s9}^^Pertes ennemies : {s10}
menu_zendar|Ville de Zendar.
mno_zendar_enter| 
mno_zendar_enter_door|Centre-ville
mno_zendar_tavern| 
mno_zendar_tavern_door|Taverne
mno_zendar_merchant| 
mno_zendar_merchant_door|Boutique
mno_zendar_arena| 
mno_zendar_arena_door|Arènes
mno_town_1_leave| 
menu_salt_mine|Mine de sel.
mno_enter|Entrer
menu_four_ways_inn|Auberge de la Croisée.
menu_test_scene|Scène de test.
menu_dhorak_keep|Donjon de Dhorak.
menu_join_siege_outside|{s2} assiège {s1}.
mno_approach_besiegers|Approcher du camp des assiégeants
mno_pass_through_siege|Franchir les lignes du siège et entrer dans {s1}
menu_cut_siege_without_fight|Les assaillants vous laissent approcher du château sans encombre.
menu_besiegers_camp_with_allies|{s1} est toujours en état de siège, {s2} a sa bannière qui flotte au-dessus du camp des assiégeants et vous êtes les bienvenus.
mno_talk_to_siege_commander|Demander une audience avec le commandant
mno_join_siege_with_allies|Rejoindre le prochain assaut
mno_join_siege_stay_back|Ordonner à vos soldats de se joindre au prochain assaut sans vous
menu_castle_outside|Vous êtes à l'extérieur de {s2}.{s11} {s3} {s4}
mno_approach_gates|Approcher des portes et appeler les gardes
mno_town_sneak|Se déguiser pour essayer de franchir les portes
mno_castle_start_siege|Assiéger {reg6?la ville:le château}
mno_castle_leave|Quitter
menu_castle_guard|Vous vous approchez des portes. Les gardes sur les remparts vous observent attentivement.
mno_request_shelter|Demander à entrer au château
mno_request_meeting_commander|Solliciter une audience
mno_guard_leave|Partir
menu_castle_entry_granted|Après quelques instants, les gardes ouvrent les portes et vous permettent d'entrer.
menu_castle_entry_denied|L'entrée de ce château vous a été interdite par le seigneur des lieux, et le chef des gardes vous informe qu'il ordonnera à ses hommes de tirer si vous vous approchez davantage.
menu_castle_meeting|Qui souhaitez-vous rencontrer ?
mno_guard_meet_s5|{s5}
mno_forget_it|Laisser tomber
menu_castle_meeting_selected|Votre requête a été transmise, et finalement {s6} apparaît dans la cour afin de discuter avec vous.
menu_castle_besiege|Vous assiégez {s1}. {s2} {s3}
mno_siege_request_meeting|Demander une entrevue avec le chef des assiégés
mno_wait_24_hours|Attendre jusqu'à demain
mno_castle_lead_attack|Mener vos troupes à l'assaut
mno_attack_stay_back|Ordonner à vos troupes d'engager le combat sans vous
mno_build_ladders|Se préparer à l'assaut
mno_build_siege_tower|Construire une tour de siège
mno_lift_siege|Lever le siège
menu_siege_attack_meets_sally|Des défenseurs tentent une sortie afin de vous surprendre et de contrer votre assaut.
menu_castle_besiege_inner_battle|{s1}
menu_construct_ladders|Avec le niveau le plus élevé dans la compétence Ingénierie ({reg2}), {reg3?vous estimez:{s3} estime} que construire des échelles prendra {reg4} heures.
mno_build_ladders_cont|Le faire
menu_construct_siege_tower|Avec le niveau le plus élevé dans la compétence Ingénierie ({reg2}), {reg3?vous estimez:{s3} estime} que la construction d'une tour de siège prendra {reg4} heures.
