imod_plain|Simplí %s
imod_cracked|Scoilte %s
imod_rusty|Meirgeach %s
imod_bent|Camtha %s
imod_chipped|Scealptha %s
imod_battered|Seanchaite %s
imod_poor|Dona %s
imod_crude|Tútach %s
imod_old|Sean %s
imod_cheap|Suarach %s
imod_fine|Breá %s
imod_well_made|Maith-Déanta %s
imod_sharp|Géar %s
imod_balanced|Cothrom %s
imod_tempered|Faghartha %s
imod_deadly|Marfach %s
imod_exquisite|Fíorálainn %s
imod_masterwork|Sárshaothar %s
imod_heavy|Trom %s
imod_strong|Láidir %s
imod_powerful|Cumhachtach %s
imod_tattered|Stróicthe %s
imod_ragged|Bratógach %s
imod_rough|Garbh %s
imod_sturdy|Téagartha %s
imod_thick|Tiubh %s
imod_hardened|Cruaite %s
imod_reinforced|Treisithe %s
imod_superb|Iontach %s
imod_lordly|Ríoga %s
imod_lame|Bacach %s
imod_swaybacked|Lag-Dromach %s
imod_stubborn|Ceanndána %s
imod_timid|Cúthail %s
imod_meek|Ceansa %s
imod_spirited|Bríomhar %s
imod_champion|Curata %s
imod_fresh|Úr %s
imod_day_old|Lá d'aois %s
imod_two_day_old|Dá lá d'aois %s
imod_smelling|Breán %s
imod_rotten|Lofa %s
imod_large_bag|Mála Mór do %s
