menu_start_game_0|Ti giunga il benvenuto nel mondo avventuroso di Mount and Blade: Warband. Prima di cominciare a giocare devi creare il tuo personaggio. Ricorda che nella società tradizionale rappresentata nel gioco, guerra e politica erano normalmente dominate dai membri maschi della nobiltà. Questo però non impedisce che tu possa giocare con un personaggio femminile, o uno che non sia di nobile nascita. I maschi nobili possono avere un inizio facile, ma donne e uomini comuni possono raggiungere tutti gli obiettivi. E questo potrebbe rendere ancora più interessante il gioco.
mno_continue|Continua...
mno_go_back|Indietro
menu_start_phase_2|Giungi in Calradia, una terra straziata da regni rivali che si combattono l'un l'altro per la supremazia, un paradiso per cavalieri di ventura e mercenari, taglia gole e avventurieri, tutti pronti a rischiare la vita alla ricerca di fortuna, potere e gloria... In questa terra che nasconde grandi pericoli e grandi opportunità, lascerai alle spalle il tuo passato e inizierai una nuova vita. Ora, senti di avere tra le mani le chiavi del tuo destino, con la libertà di fare le tue scelte, e sai che qualunque sia la strada che sceglierai, ti attendono grandi avventure. I racconti che hai sentito su Calradia e sui suoi regni hanno attratto il tuo interesse, tu...
mno_town_1|ti unisci ad una carovana per Praven, nel Regno di Swadia.
mno_town_2|ti unisci ad una carovana per Reyvadin, nel Regno dei Vaegirs.
mno_town_3|ti unisci ad una carovana per Tulga, nel Khanato Khergit.
mno_town_4|prendi nave per Sargoth, nel Regno dei Nords
mno_town_5|prendi nave per Jelkala, nel Regno dei Rhodoks.
mno_town_6|ti unisci ad una carovana per Shariz, nel Sultanato Sarranide.
menu_start_game_3|Scegli lo scenario:
menu_tutorial|Ti avvicini ad un campo dove le persone si esercitano con le armi. Puoi far pratica qui per migliorare le tue capacità di combattimento.
mno_go_back_dot|Indietro.
menu_reports|Fama del Personaggio: {reg5}^Livello d'Onore: {reg6}^Morale della Compagnia: {reg8}^Limite di Dimensione della Compagnia: {reg7}^
mno_view_character_report|Guarda il rapporto sul Personaggio.
mno_view_party_size_report|Guarda il rapporto sulla dimensione della Compagnia.
mno_view_npc_mission_report|Guarda il rapporto sulla missione dei Compagni.
mno_view_weekly_budget_report|Guarda il rapporto sul budget settimanale.
mno_view_morale_report|Guarda il rapporto del morale della Compagnia.
mno_lord_relations|Guarda la lista dei lord conosciuti in ordine di relazione.
mno_courtship_relations|Guarda il rapporto sulle relazioni amorose.
mno_view_faction_relations_report|Guarda il rapporto sulla relazione tra le fazioni.
mno_resume_travelling|Torna al viaggio.
menu_custom_battle_scene|(NO TRANS)
