str_no_string|NO STRING!
str_empty_string| 
str_yes|Si.
str_no|No.
str_blank_string| 
str_noone|nessuno
str_s50_and_s51|{s50} e {s51}
str_s52_and_s51|{s52} e {s51}
str_s5_s_party|Compagnia di {s5}
str_given_by_s1_at_s2|Dato da {s1} a {s2}
str_given_by_s1_in_wilderness|Dato da {s1} nella zona
str_s7_raiders|{s7} Predoni
str_bandits_eliminated_by_another|I banditi sono stati eliminati da un'altra Compagnia.
str_msg_battle_won|La battaglia è vinta! Premi Tab per uscire...
str_tutorial_map1|Stai osservando la mappa strategica. Click-sinistro sulla mappa per muovere la tua Compagnia verso quella locazione, entrare nella città selezionata o seguire un'altra Compagnia. Il gioco entrerà in pausa nella mappa strategica se la tua Compagnia non si muove o si ferma. Puoi attendere e far scorrere il tempo semplicemente tenendo premuta la barra spaziatrice.
str_randomize|Casuale
str_charge|Carica
str_color|Colore
str_flip_horizontal|Flip Orizzontale
str_flip_vertical|Flip Verticale
str_hold_fire|Non tirate
str_blunt_hold_fire|Brusco / Non tirate
str_tutorial_ammo_refilled|Munizioni Ricaricate.
str_tutorial_failed|Hai subito una sconfitta questa volta, ma non preoccuparti. Segui attentamente le istruzioni e la prossima volta farai meglio. Premi Tab per tornare al Menù Principale e riprovare questo Tutorial.
str_finished|(Completato)
str_delivered_damage|Inflitti {reg60} danni.
str_archery_target_hit|Distanza: {reg61} yards. Punteggio: {reg60}
str_use_baggage_for_inventory|Usa il tuo bagaglio per accedere all'inventario durante la battaglia (si trova nella posizione di partenza).
str_cant_use_inventory_now|Ora non puoi accedere all'inventario.
str_cant_use_inventory_arena|Nell'arena non puoi accedere all'inventario.
str_cant_use_inventory_disguised|Quando usi un camuffamento non puoi accedere all'inventario.
str_cant_use_inventory_tutorial|Nel campo d'addestramento non puoi accedere all'inventario.
str_1_denar|1 denaro
str_reg1_denars|{reg1} denari
str_january_reg1_reg2|{reg1} Gennaio {reg2}
str_february_reg1_reg2|{reg1} Febbraio {reg2}
str_march_reg1_reg2|{reg1} Marzo {reg2}
str_april_reg1_reg2|{reg1} Aprile {reg2}
str_may_reg1_reg2|{reg1} Maggio {reg2}
str_june_reg1_reg2|{reg1} Giugno {reg2}
str_july_reg1_reg2|{reg1} Luglio {reg2}
str_august_reg1_reg2|{reg1} Agosto {reg2}
str_september_reg1_reg2|{reg1} Settembre {reg2}
str_october_reg1_reg2|{reg1} Ottobre {reg2}
str_november_reg1_reg2|{reg1} Novembre {reg2}
str_december_reg1_reg2|{reg1} Dicembre {reg2}
str_town_nighttime| È notte fonda, le strade sono deserte.
str_door_locked|La porta è chiusa.
str_castle_is_abondened|Il castello non sembra occupato.
str_town_is_abondened|La città sembra abbandonata.
str_place_is_occupied_by_player|La zona è sotto il controllo delle tue truppe.
str_place_is_occupied_by_enemy|La zona è sotto il controllo di truppe nemiche.
str_place_is_occupied_by_friendly|La zona è sotto il controllo di truppe amiche.
str_do_you_want_to_retreat|Confermi di volerti ritirare?
str_give_up_fight|Lasci la battaglia?
str_do_you_wish_to_leave_tutorial|Vuoi terminare il tutorial?
str_do_you_wish_to_surrender|Vuoi arrenderti?
str_can_not_retreat|Non puoi ritirarti, ci sono dei nemici nelle vicinanze!
str_s1_joined_battle_enemy|{s1} si è unito alla battaglia dalla parte del nemico.
str_s1_joined_battle_friend|{s1} si è unito alla battaglia in tuo supporto.
str_entrance_to_town_forbidden|Le guardie cittadine vigilano attentamente, sembra che tu non sia in grado di passare il cancello senza essere notato.
str_sneaking_to_town_impossible|Le guardie cittadine sono allertate. Non sarai in grado di intrufolarti in città nemmeno con un ottimo travestimento.
str_battle_won|Hai vinto la battaglia!
str_battle_lost|Hai perso la battaglia!
str_attack_walls_success|Al termine di una sanguinosa battaglia, i tuoi valorosi soldati conquistano le mura sconfiggendo il nemico!
str_attack_walls_failure|Nel tentativo di assaltare le mura, i tuoi uomini vengono falcidiati e quei pochi che sopravvivono si danno alla fuga, non li rivedrai mai più.
str_attack_walls_continue|Le due armate si equivalgono, nonostante i tentativi dei tuoi uomini, il castello resta in mano al nemico.
str_order_attack_success|I tuoi uomini hanno sconfitto il nemico combattendo eroicamente.
