fac_no_faction|ფრაქციის გარეშე
fac_commoners|უბრალო ხალხი
fac_outlaws|კანონდამრღვევები
fac_neutral|ნეიტრალური
fac_innocents|უდანაშაულოები
fac_merchants|ვაჭრები
fac_player_faction|მოთამაშის ფრაქცია
fac_player_supporters_faction|მოთამაშის მხარდამჭერები
fac_kingdom_1|სვადიის სამეფო
fac_kingdom_2|ვეგირების სამეფო
fac_kingdom_3|ხერგიტების ხანატი
fac_kingdom_4|ნორდების სამეფო
fac_kingdom_5|როდოკის სამეფო
fac_kingdom_6|სარანიდების სასულთანო
fac_manhunters|მონადირეები
fac_deserters|დეზერტირები
fac_mountain_bandits|მთის ბანდიტები
fac_forest_bandits|ტყის ბანდიტები
fac_ccoop_all_stars|ყველა ვარსკვლავი
