menu_start_game_0|კეთილი იყოს თქვენი მობრძანება Mount and Blade: Warband-ში . სანამ თამაშს დაიწყებდეთ თქვენ უნდა შექმნათ თქვენი პერსონაჟი. დაიმახსოვრეთ რომ ტრადიციულ შუასაუკუნოებრივ საზოგადოებაში , რომელიც ამ თამაშში არის აღწერილი , ომი და პოლიტიკა ძირითადად დომინირებულია მამრობითი სქესის წარმომადგენელი თავადებით. მიუხედავად ამ ფაქტისა , თქვენ არავინ გართმევთ მდედრობითი სქესის პერსონაჟით თამაშის უფლებას . მამაკაცი თავადებისთვის თამაშის დაწყება შედარებით ადვილია ვიდრე მდედრებისათვის , თუმცა მდედრი პერსონაჟით თამაში გაცილებით საინტერესო და დაბრკოლებებით აღსავსეა.
mno_continue|გაგრძელება...
mno_go_back|უკან დაბრუნება
menu_start_phase_2|შენ გსმენია ამბები კალრადიის შესახებ , ქვეყანა , რომელიც გაყოფილია ერთმანეთის მიმართ მტრულად განწყობილ სამეფოებს შორის , რომლებიც ერთმანეთს ებრძვიან დიდებისათვის . ეს ადგილი ნამდვილი სამოთხეა რაინდებისთვისა და დაქირავებული მებრძოლებისათვის , მკვლელებისა და მოგზაურებისათვის , რომლებიც მზად არიან დათმონ ყველაფერი თავიანთი ბედის ამოსაცნობად , ძალაუფლებისა და დიდების მოსაპოვებლად ... ეს ის ქვეყანაა რომელიც იტევს უდიდეს საფრთხეებს , მაგრამ ასევე იძლევა უდიდეს შესაძლებლობებს . შენ გჯერა რომ შეგიძლია შენი წარსულის უკან მიტოვება და ახალი ცხოვრების დაწყება , გრძნობ რომ როგორც იქნა შენთვითონვე განაგებ შენს ბედს და რომელი გზაც არ უნდა აირჩიო დიდებული თავგადასავლები გელოდება . კალრადიაზე მოსმენილი ისტორიებით გატაცებულმა შენ...
mno_town_1|შეუერთდი პრავენის ქარავანს, სვადიის სამეფოში.
mno_town_2|შეუერთდი რეივადინის ქარავანს, ვეგირების სამეფოში.
mno_town_3|შეუერთდი ტულგას ქარავანს, ხერგიტთა სახანატოში.
mno_town_4|ჩაჯექით სარგოთისკენ მიმავალ გემში, ნორდთა სამეფოში.
mno_town_5|ჩაჯექით ჯელკალისკენ მიმავალ გემში, როდოკთა სამეფოში.
mno_town_6|შეუერთდით შარიზისკენ მიმავალ ქარავანს , სარანიდების სასულთანოში.
