imod_plain|უბრალო%s
imod_cracked|ჩამტვრეული %s
imod_rusty|ჟანგიანი %s
imod_bent|მოღუნული%s
imod_chipped|გაშალაშინებული%s
imod_battered|შელახული%s
imod_poor|უხარისხო%s
imod_crude|ნედლი%s
imod_old|ძველი%s
imod_cheap|იაფასიანი%s
imod_fine|კარგი%s
imod_well_made|კარგათ გაკეთებული%s
imod_sharp|ბასრი%s
imod_balanced|დაბალანსებული%s
imod_tempered|ზომიერი%s
imod_deadly|მომაკვდინებელი%s
imod_exquisite|დახვეწილი%s
imod_masterwork|ოსტატური%s
imod_heavy|ღონიერი%s
imod_strong|ძლიერი %s
imod_powerful|მძლავრი %s
imod_tattered|შებღალული%s
imod_ragged|დაუმუშავებელი%s
imod_rough|უხეში%s
imod_sturdy|გამძლე%s
imod_thick|სქელი%s
imod_hardened|შემაგრებული%s
imod_reinforced|შეკეთებული%s
imod_superb|შესანიშნავი%s
imod_lordly|მეფური%s
imod_lame|უხარისხო%s
imod_swaybacked|წელღრმა%s
imod_stubborn|ჯიუტი%s
imod_timid|თვინიერი%s
imod_meek|დამჯერი%s
imod_spirited|ენერგიული%s
imod_champion|ჩემპიონი%s
imod_fresh|ახალთახალი%s
imod_day_old|ერთი დღის%s
imod_two_day_old|ორი დღის%s
imod_smelling|მყრალი%s
imod_rotten|დამპალი%s
imod_large_bag|დიდი აბგა%s
