skl_trade|ვაჭრობა
skl_trade_desc|ყოველი ამ შესაძლებლობის საფეხური გაკლებთ ვაჭრობის პენალიზაციას 5%%ით. (ლაშქრის შესაძლებლობა)
skl_leadership|ლიდერობა
skl_leadership_desc|ყოველი ქულა ამ შესაძლებლობაზე დახარჯული გიზრდით მებრძოლთა მართვის შესაძლებლობას 5 ით, ასევე გიზრდით ლაშქრის მორალს და ამცირებს მებრძოლთა გადასახადებს 5%%ით. (ლიდერის შესაძლებლობა)
skl_prisoner_management|ტყვეთა მართვა
skl_prisoner_management_desc|ყოველი საფეხური ამ შესაძლებლობისა გიზრდით ტყვეთა ლიმიტს %dით. (ლიდერის შესაძლებლობა)
skl_reserved_1|სარეზერვო შესაძლებლობა 1
skl_reserved_1_desc|ეს სარეზერვო შესაძლებლობაა.
skl_reserved_2|სარეზერვო შესაძლებლობა 2
skl_reserved_2_desc|ეს სარეზერვო შესაძლებლობაა.
skl_reserved_3|სარეზერვო შესაძლებლობა 3
skl_reserved_3_desc|ეს სარეზერვო შესაძლებლობაა.
skl_reserved_4|სარეზერვო შესაძლებლობა 4
skl_reserved_4_desc|ეს სარეზერვო შესაძლებლობაა.
skl_persuasion|აყოლიება
skl_persuasion_desc|ეს შესაძლებლობა გეხმარებათ აიყოლიოთ ხალხი თქვენს სასარგებლოდ , ეს ასევე გმატებთ ხალხის ნდობას , რაც იმას ნიშნავს რომ გაცილებით ადვილი ხდება მათი აყოლიება. (პერსონალური შესაძლებლობა)
skl_engineer|ინჟინერია
skl_engineer_desc|ეს შესაძლებლობა გაცილებით ადვილს ხდის ციხის აღებისათვის შესაბამის მოწყობილობების აგებას , ასევე თქვენი უძრავი ქონების გაუმჯობესებაშიც ხელს გიწყობთ. (ლაშქრის შესაძლებლობა)
skl_first_aid|პირველადი დახმარება
skl_first_aid_desc|თქვენს გმირთა საფეხურების შესაბამისად ისინი იღდგენენ ბრძოლისას დაკარგული სიცოცხლის 5%%ს. (ლაშქრის შესაძლებლობა)
skl_surgery|ქირურგია
skl_surgery_desc|ყოველი ქულა ამ შესაძლებლობაში ჩადებული გაძლევთ 4%%შანსს , რომ თქვენს ლაშქარში მყოფი მძიმედ დაჭრილი მეომარი სიკვდილის ნაცვლად დაჭრილი დარჩება. (ლაშქრის შესაძლებლობა)
skl_wound_treatment|იარების მკურნალობა
skl_wound_treatment_desc|ლაშქარში მყოფი დაჭრილი მეომრების მოშუშების სისწრაფე იზრდება 20%%ით ამ შესაძლებლობის ყოველ საფეხურზე . (ლაშქრის შესაძლებლობა)
skl_inventory_management|ინვენტარის მოწყობა
skl_inventory_management_desc|გიზრდით ინვენტარის სლოტებს +6 ით ამ შესაძლებლობის ყოველ საფეხურზე. (ლიდერის შესაძლებლობა)
skl_spotting|შემჩნევა
skl_spotting_desc|თქვენი ლაშქრის ხედვის არე იზრდება 10%%ით ამ შესაძლებლობის ყოველ საფეხურზე . (ლაშქრის შესაძლებლობა)
skl_pathfinding|გზის გაკვლევა
skl_pathfinding_desc|რუკაზე ლაშქრის გადაადგილების სისწრაფე იზრდება 3%%ით ამ შესაძლებლობის ყოველ საფეხურზე. (ლაშქრის შესაძლებლობა)
skl_tactics|ტაქტიკა
skl_tactics_desc|ყოველი ორი საფეხური ამ შესაძლებლობისა გიზრდით უპირატესობას ბრძოლის დაწყებისას 1 ით. (ლაშქრის შესაძლებლობა)
skl_tracking|ნაკვალების ამოცნობა
skl_tracking_desc|ნაკვალები ხდება უფრო გამოსადეგი. (ლაშქრის შესაძლებლობა)
skl_trainer|მწრვთნელი
skl_trainer_desc|ყოველ დღე , ყოველი გმირი რომელსაც ეს შესაძლებლობა გააჩნია შედარებით დაბალ საფეხურზე მყოფ მებრძოლებს გადასცემენ გამოცდილებას . გამოცდილების გადაცემა ხდება შემდეგნაირად: {0,4,10,16,23,30,38,46,55,65,80}. (პერსონალური შესაძლებლობა)
skl_reserved_5|სარეზერვო შესაძლებლობა 5
skl_reserved_5_desc|ეს სარეზერვო შესაძლებლობაა.
skl_reserved_6|სარეზერვო შესაძლებლობა 6
skl_reserved_6_desc|ეს სარეზერვო შესაძლებლობაა.
skl_reserved_7|სარეზერვო შესაძლებლობა 7
skl_reserved_7_desc|ეს სარეზერვო შესაძლებლობაა.
skl_reserved_8|სარეზერვო შესაძლებლობა 8
skl_reserved_8_desc|ეს სარეზერვო შესაძლებლობაა.
skl_looting|ნადავლის აღება
skl_looting_desc|ეს შესაძლებლობა მოცემული ნადავლის რიცხვს ზრდის 10%%ით ამ შესაძლებლობის ყოველ საფეხურზე. (ლაშქრის შესაძლებლობა)
skl_horse_archery|ამხედრებული მშვილდოსნობა
