fac_no_faction|Nav Frakcijas
fac_commoners|Vienkāršās
fac_outlaws|Noziedzinieki
fac_neutral|Neitrāli
fac_innocents|Nevainīgie
fac_merchants|Tirgotāji
fac_player_faction|Spēlētāja Frakcija
fac_player_supporters_faction|Spēlētāja atbalstītāji
fac_kingdom_1|Svadijas Karaliste
fac_kingdom_2|Vaegiru Karaliste
fac_kingdom_3|Kergitu Haniste
fac_kingdom_4|Nordu Karaliste
fac_kingdom_5|Rodoku Karaliste
fac_kingdom_6|Saranidu Sultanāts
fac_manhunters|Bandītu mednieki
fac_deserters|Dezertieri
fac_mountain_bandits|Kalnu Bandīti
fac_forest_bandits|Maža bandīti
fac_ccoop_all_stars|Visas zvaigznes
