skl_trade|Tirgošanās
skl_trade_desc|Katrs šīs prasmes līmenis pazemina tirgožanās naudassodu par 5%%. (Partijas prasme)
skl_leadership|Vadība
skl_leadership_desc|Katrs punkts palielina maksimālo vienību skaitu Jūsu partijā par 5, palielina partijas morāli un samazina vienību atalgojumu par 5%%. (Līdera iemaņa)
skl_prisoner_management|Gūstekņu menedžments.
skl_prisoner_management_desc|Katrs šīs prasmes līmenis palielina maksimālo gūstekņu skaitu par %d. (Līdera prasme)
skl_reserved_1|Reserved Skill 1
skl_reserved_1_desc|This is a reserved skill.
skl_reserved_2|Reserved Skill 2
skl_reserved_2_desc|This is a reserved skill.
skl_reserved_3|Reserved Skill 3
skl_reserved_3_desc|This is a reserved skill.
skl_reserved_4|Reserved Skill 4
skl_reserved_4_desc|This is a reserved skill.
skl_persuasion|Pārliecināšana
skl_persuasion_desc|Šī iemaņa palīdz citiem saprast tavu skatu uz lietām. Tā arī pazemina minimālo līmeni nepieciešamajām attiecībām lai liktu NPC darīt ko Jūs vēlaties. (Personal skill)
skl_engineer|Inženieris
skl_engineer_desc|Šī iemaņa atļauj jums celt aplenkuma tehniku un lēņa uzlabojuus daudz efektīvāk. (Party skill)
skl_first_aid|Pirmā palīdzība
skl_first_aid_desc|Varoņi atgūst 5%% dzīvības par katru prasmes līmeni pēc misijām. (Partijas prasme)
; skl_surgery|Surgery
; skl_surgery_desc|Each point to this skill gives a 4%% chance that a mortally struck party member will be wounded rather than killed. (Party skill)
; skl_wound_treatment|Wound Treatment
; skl_wound_treatment_desc|Party healing speed is increased by 20%% per level of this skill. (Party skill)
; skl_inventory_management|Inventory Management
; skl_inventory_management_desc|Increases inventory capacity by +6 per skill level. (Leader skill)
; skl_spotting|Spotting
; skl_spotting_desc|Party seeing range is increased by 10%% per skill level. (Party skill)
; skl_pathfinding|Path-finding
; skl_pathfinding_desc|Party map speed is increased by 3%% per skill level. (Party skill)
; skl_tactics|Tactics
; skl_tactics_desc|Every two levels of this skill increases starting battle advantage by 1. (Party skill)
; skl_tracking|Tracking
; skl_tracking_desc|Tracks become more informative. (Party skill)
; skl_trainer|Trainer
; skl_trainer_desc|Every day, each hero with this skill adds some experience to every other member of the party whose level is lower than his/hers. Experience gained goes as: {0,4,10,16,23,30,38,46,55,65,80}. (Personal skill)
; skl_reserved_5|Reserved Skill 5
; skl_reserved_5_desc|This is a reserved skill.
; skl_reserved_6|Reserved Skill 6
; skl_reserved_6_desc|This is a reserved skill.
; skl_reserved_7|Reserved Skill 7
; skl_reserved_7_desc|This is a reserved skill.
; skl_reserved_8|Reserved Skill 8
; skl_reserved_8_desc|This is a reserved skill.
; skl_looting|Looting
; skl_looting_desc|This skill increases the amount of loot obtained by 10%% per skill level. (Party skill)
; skl_horse_archery|Horse Archery
; skl_horse_archery_desc|Reduces damage and accuracy penalties for archery and throwing from horseback. (Personal skill)
; skl_riding|Riding
; skl_riding_desc|Enables you to ride horses of higher difficulty levels and increases your riding speed and manuever. (Personal skill)
; skl_athletics|Athletics
; skl_athletics_desc|Improves your running speed. (Personal skill)
; skl_shield|Shield
; skl_shield_desc|Reduces damage to shields (by 8%% per skill level) and improves shield speed and coverage. (Personal skill)
; skl_weapon_master|Weapon Master
; skl_weapon_master_desc|Makes it easier to learn weapon proficiencies and increases the proficiency limits. Limits go as: 60, 100, 140, 180, 220, 260, 300, 340, 380, 420. (Personal skill)
; skl_reserved_9|Reserved Skill 9
; skl_reserved_9_desc|This is a reserved skill.
; skl_reserved_10|Reserved Skill 10
; skl_reserved_10_desc|This is a reserved skill.
; skl_reserved_11|Reserved Skill 11
; skl_reserved_11_desc|This is a reserved skill.
; skl_reserved_12|Reserved Skill 12
; skl_reserved_12_desc|This is a reserved skill.
; skl_reserved_13|Reserved Skill 13
; skl_reserved_13_desc|This is a reserved skill.
; skl_power_draw|Power Draw
; skl_power_draw_desc|Lets character use more powerful bows. Each point to this skill (up to four plus power-draw requirement of the bow) increases bow damage by 14%%. (Personal skill)
; skl_power_throw|Power Throw
; skl_power_throw_desc|Each point to this skill increases throwing damage by 10%%. (Personal skill)
; skl_power_strike|Power Strike
; skl_power_strike_desc|Each point to this skill increases melee damage by 8%%. (Personal skill)
; skl_ironflesh|Ironflesh
; skl_ironflesh_desc|Each point to this skill increases hit points by +2. (Personal skill)
; skl_reserved_14|Reserved Skill 14
; skl_reserved_14_desc|This is a reserved skill.
; skl_reserved_15|Reserved Skill 15
; skl_reserved_15_desc|This is a reserved skill.
; skl_reserved_16|Reserved Skill 16
; skl_reserved_16_desc|This is a reserved skill.
; skl_reserved_17|Reserved Skill 17
; skl_reserved_17_desc|This is a reserved skill.
; skl_reserved_18|Reserved Skill 18
; skl_reserved_18_desc|This is a reserved skill.
