menu_start_game_0|Witaj wędrowcze w Mount and Blade: Warband. Zanim rozpoczniesz grę musisz stworzyć swoją postać. Pamiętaj, że w tradycyjnym średniowiecznym społeczeństwie przedstawionym w grze, wojna i polityka są zazwyczaj zdominowane przez męskich przedstawicieli szlachty. To oczywiście nie oznacza, że nie powinieneś wybrać postaci żeńskiej albo jakiejś urodzonej w szlachcie. Męski szlachcic może mieć łatwiejszy start, ale kobieta lub pospólstwo może osiągnąć te same cele i mogą mieć dużo ciekawszy, ale i trudniejszy start.
mno_continue|Dalej...
mno_go_back|Wstecz
menu_start_phase_2|Usłyszałeś o Calradii, ziemi rozdartej między rywalizujące księstwa walczące o władzę, idealne miejsce dla rycerzy i najemników, rzezimieszków i wędrowców, wszyscy gotowi ryzykować życie w pogoni za pieniędzmi, siłą i chwałą... W tym miejscu pełnym niebezpieczeństw i możliwości wierzysz, że uda Ci się pozostawić przeszłość i zacząć nowe życie. Czujesz, że wreszcie trzymasz w ręku klucz do swojego przeznaczenia, masz wolność wyboru i jakiej drogi nie obierzesz czeka na Ciebie wielka przygoda. Przyciągnięty opowieściami które słyszałeś o Calradii i jej księstwach...
mno_town_1|przyłączasz się do karawany do Praven, w Księstwie Swadii.
mno_town_2|przyłączasz się do karawany do Reyvadin, w Księstwie Vaegirs.
mno_town_3|przyłączasz się do karawany do Tulgii, w Księstwie Khanate.
mno_town_4|wsiadasz na statek do Sargoth, w Księstwie Nordów.
mno_town_5|wsiadasz na statek do Jelkalii, w Księstwie Rhodoks.
mno_town_6|przyłączasz się do karawany do Shariz, w Sułtanacie Sarranid.
menu_start_game_3|Wybierz swoją historię:
menu_tutorial|Zbliżasz się do pola na którym tutejsi ludzie trenują z bronią. Możesz tutaj ćwiczyć, aby poprawić umiejętności walki.
mno_go_back_dot|Wstecz.
menu_reports|Sława postaci:{reg5}^Honor:{reg6}^Morale drużyny:{reg8}^Limit wielkości drużyny:{reg7}^
mno_view_character_report|Pokaż informacje o postaci.
mno_view_party_size_report|Pokaż informacje o wielkości drużyny.
mno_view_npc_mission_report|Pokaż informacje o misji kompana.
mno_view_weekly_budget_report|Pokaż informacje o tygodniowym budżecie.
mno_view_morale_report|Pokaż informacje o morale drużyny.
mno_lord_relations|Pokaż informacje o relacjach z poznanymi władcami.
mno_courtship_relations|Pokaż informacje o relacjach na dworze.
mno_view_faction_relations_report|Pokaż informacje o relacjach między fakcjami.
mno_resume_travelling|Powróć do podróży.
menu_custom_battle_scene|(NO TRANS)
menu_custom_battle_end|Bitwa się zakończyła. {s1} Twoja strona zabiła {reg5} przeciwników i straciła {reg6} żołnierzy w trakcie bitwy. Osobiście zabiłeś {reg7} w trakcie walk.
menu_start_game_1|Wybierz płeć postaci.
mno_start_male|Mężczyzna
mno_start_female|Kobieta
menu_start_character_1|Urodziłeś się lata temu w odległej krainie. Twój ojciec był...
mno_start_noble|Zubożałym szlachcicem.
mno_start_merchant|Wędrującym kupcem.
mno_start_guard|Doświadczonym wojownikiem.
mno_start_forester|Łowcą.
mno_start_nomad|Stepowym nomadę.
mno_start_thief|Złodziejem.
menu_start_character_2|{s10}^^ Zacząłeś uczyć się o świecie prawie od momentu kiedy zacząłeś chodzić i mówić. Młodość spędziłeś jak...
mno_page|Skryba na dworze szlachcica.
mno_apprentice|Uczeń rzemieślnika.
mno_stockboy|Asystent sklepikarza.
mno_urchin|Uliczna sierota.
mno_nomad|Przyszywane dziecko.
menu_start_character_3|{s11}^^ Później jako młody dorosły życie się odmieniło. Zostałeś...
mno_squire|Skrybą.
mno_lady|Damą dworu.
mno_troubadour|Trubadurem.
mno_student|Studentem.
mno_peddler|Handlarzem.
mno_craftsman|Kowalem.
mno_poacher|Kłusownikiem.
menu_start_character_4|{s12}^^ Ale wszystko szybko się odmieniło i postanowiłeś spróbować szczęścia jako poszukiwacz przygód. Do tej decyzji skłoniło Cię...
mno_revenge|Zemsta.
mno_death|Utrata ukochanej osoby.
mno_wanderlust|Zamiłowanie do włóczęgi.
mno_disown|Byłeś zmuszony do opuszczenia domu.
mno_greed|Żądza pieniędzy i potęgi.
menu_choose_skill|{s13}
mno_begin_adventuring|Zostań poszukiwaczem przygód i znajdź swoje przeznaczenie.
menu_past_life_explanation|{s3}
mno_view_next|{s5}
menu_morale_report|{s1}
menu_courtship_relations|{s1}
menu_lord_relations|{s1}
menu_companion_report|{s7}{s1}
menu_character_report|{s9}
menu_party_size_report|{s1}
menu_faction_relations_report|{s1}
menu_camp|Rozbiłeś obóz. Co chcesz zrobić?
mno_camp_action|Podejmij działanie.
mno_camp_wait_here|Poczekaj przez jakiś czas.
mno_camp_cheat|MENU KODÓW!
menu_camp_cheat|Wybierz kod:
mno_camp_cheat_find_item|Znajdź przedmiot...
menu_camp_action|Wybierz działanie:
mno_camp_recruit_prisoners|Rekrutuj więźniów do swojej drużyny.
mno_action_read_book|Wybierz książkę do przeczytania.
mno_action_rename_kingdom|Zmień nazwę swojego księstwa.
mno_action_retire|Wycofaj się z przygód.
mno_camp_action_4|Wróć do menu obozu.
menu_camp_recruit_prisoners|Oferujesz więźniom wolność jeżeli zgodzą się dołączyć do Ciebie jako żołnierze.
mno_camp_recruit_prisoners_accept|Przyjmij ich.
mno_camp_recruit_prisoners_reject|Odrzuć.
menu_camp_no_prisoners|Nie masz więźniów z których możesz rekrutować.
menu_camp_action_read_book|Wybierz książkę do przeczytania:
mno_action_read_book_1|{s1}.
mno_action_read_book_2|{s1}.
mno_action_read_book_3|{s1}.
mno_action_read_book_4|{s1}.
mno_action_read_book_5|{s1}.
mno_action_read_book_6|{s1}.
mno_action_read_book_7|{s1}.
menu_camp_action_read_book_start|{s1}
menu_retirement_verify|Dzień {reg0}. Twoje szczęście to {reg1}. Na pewno chcesz się wycofać?
mno_retire_yes|Tak.
mno_retire_no|Nie.
menu_end_game|Decyzja została podjęta, zdecydowałeś się poddać swoje awanturnicze życie i ustatkować się. Sprzedałeś swoją broń i zbroję, zagarnąłeś wszystkie pieniądze i odjechałeś w stronę zachodzącego słońca...
mno_end_game_bye|Żegnaj.
menu_cattle_herd|Napotkałeś stado krów.
mno_cattle_drive_away|Pogoń stado na przód.
mno_cattle_stop|Zatrzymaj stado.
mno_cattle_kill|Zarżnij kilka zwierząt.
