pt_none|nic
pt_rescued_prisoners|Uratowanie więźniowie
pt_enemy|Wróg
pt_hero_party|Drużyna bohatera
pt_village_defenders|Obrońcy wioski
pt_cattle_herd|Stado bydła
pt_looters|Grabieżcy
pt_manhunters|Łowcy głów
pt_steppe_bandits|Bandyci stepowi
pt_taiga_bandits|Bandyci z tundry
pt_desert_bandits|Bandyci z pustyni
pt_forest_bandits|Bandyci z lasu
pt_mountain_bandits|Bandyci ze wzgórz
pt_sea_raiders|Piraci
pt_deserters|Dezerterzy
pt_merchant_caravan|Karawana kupiecka
pt_troublesome_bandits|Kłopotliwi bandyci
pt_bandits_awaiting_ransom|Bandyci oczekujący okupu
pt_kidnapped_girl|Porwana dziewczyna
pt_village_farmers|Farmerzy
pt_spy_partners|Nie rzucający się w oczy podróżnicy
pt_runaway_serfs|Uciekający parobkowie
pt_spy|Zwykły mieszczanin
pt_sacrificed_messenger|Poświęcony posłaniec
pt_forager_party|Drużyna grabieżców
pt_scout_party|Skauci
pt_patrol_party|Patrol
pt_messenger_party|Posłaniec
pt_raider_party|Najeźdźcy
pt_raider_captives|Zakładnicy grabieżców
pt_kingdom_caravan_party|Karawana
pt_prisoner_train_party|Konwój więzienny
pt_default_prisoners|Więźniowie
pt_routed_warriors|Rozbici przeciwnicy
pt_center_reinforcements|Posiłki
pt_kingdom_hero_party|Drużyna wojskowych
pt_steppe_bandit_lair|Dziupla bandytów ze stepu
pt_taiga_bandit_lair|Dziupla bandytów z tundry
pt_desert_bandit_lair|Dziupla bandytów z pustyni
pt_forest_bandit_lair|Dziupla bandytów z lasu
pt_mountain_bandit_lair|Dziupla bandytów z gór
pt_sea_raider_lair|Kryjówka piratów
pt_looter_lair|Dziupla porywaczy
pt_leaded_looters|Banda rabusiów
