dlga_award_fief_to_vassal:award_fief_to_vassal_defer|Eu quero adiar a nomeação de um Lorde até que eu me aconselhe com meus súditos. 
dlga_award_fief_to_vassal_defer:close_window|Como desejar, {alteza}. Vossa majestade pode decidir isso mais tarde.
dlga_award_fief_to_vassal_2:close_window|Como desejar, {alteza}. reg6?Eu:{reg7?Tu:{s11}}}  {reg6?serei:{reg7?serás:{s11}}} será {reg3?a:o} {reg3?nova:novo} {reg3?senhora:lorde} de {s1}.
dlga_event_triggered:center_captured_rebellion|{s1} não está sendo gerida por alguém. Quem devemos colocar no comando?
dlga_center_captured_rebellion:center_captured_rebellion_2|{s11}. {s1}
dlga_center_captured_rebellion:center_captured_rebellion_2.1|Por favor {s65}, Eu quero ter {s1} para mim. (feudos: {s0})
dlga_center_captured_rebellion:center_captured_rebellion_2.2|{s66}, você deveria ter {s1} para si. (feudos: {s0})
dlga_center_captured_rebellion_2:close_window|Hmmm. Certo, {playername}. Dou valor ao seu conselho. {reg6?Eu:{reg7?Tu:{s11}}}  {reg6?serei:{reg7?serás:{s11}}} será {reg3?a:o} {reg3?nova:novo} {reg3?senhora:lorde} de{s1}.
dlga_start:fighter_talk|Saudações. Estamos aprimorando nossas perícias de combate aqui com um pouco de treino de luta. Você parece estar precisando de um pouco de treinamento. Por que não se junta a nós, assim podemos mostrar-lhe alguns truques. E se precisar de explicações de quaisquer conceito de combate, é só perguntar, e iremos fazer o melhor possível para ajudá-lo.
dlga_start:fighter_talk.1|O que quer praticar?
dlga_fighter_pretalk:fighter_talk|Diga-me que tipo de treinamento procura.
dlga_fighter_talk:fighter_talk_train_attack|Eu quero treinar ataque.
dlga_fighter_talk:fighter_talk_train_parry|Eu quero praticar o bloqueio com minha arma.
dlga_fighter_talk:fighter_talk_train_combat|Vamos fazer um duelo.
dlga_fighter_talk:close_window|[Sair]
dlga_fighter_talk_train_attack:fighter_talk_train_attack_2|Certo. Há quatro direções básicas para atacar. Estas são o golpe superior, golpe lateral direito, golpe lateral esquerdo e a estocada. Agora, irei dizer para você em qual direção atacar e você deve executar o movimento correto. ^^(Mova seu mouse enquanto pressiona o botão esquerdo para especificar a direção do ataque. Por exemplo, para executar um golpe superior, mova o mouse para cima no momento que pressionar o botão esquerdo do mouse. Os ícones na sua tela irão ajudar você a fazer a ação correta.)
dlga_fighter_talk_train_attack_2:close_window|Vamos começar. Eu estou pronto.
dlga_fighter_talk_train_attack_2:fighter_pretalk|Na verdade eu quero fazer outra coisa.
dlga_fighter_talk_train_parry:fighter_talk_train_parry_2|Ao contrário do que um escudo, aparar um golpe com a arma só vai parar os ataques vindos de uma única direção. Por exemplo, se aparar para cima, você bloqueará golpes superiores, mas você ainda pode ser atingido por goles laterais e estocadas. ^^(Você deve apertar e segurar o botão direito do mouse para bloquear.)
dlga_fighter_talk_train_parry_2:fighter_talk_train_parry_3|Eu agora vou atacar você com diferentes tipos de golpes, e vou esperar até que você faça a manobra de bloqueio correta antes de atacar. Tente fazer o bloqueio correto o quanto antes possível. ^^(Este treinamento é fácil de se fazer com a opção 'direção de bloqueio automática' ligada, e ela está por padrão. Se você for ao menu de Opções e mudar o controle de direção de bloqueio. Isso será muito mais desafiador, mas tornará o jogo muito mais interessante. Esse treinamento pode ser muito útil ao se usar o bloqueio manual.)
dlga_fighter_talk_train_parry_3:close_window|Vamos começar. Eu estou pronto.
dlga_fighter_talk_train_parry_3:fighter_pretalk|Na verdade eu quero fazer outra coisa.
dlga_fighter_talk_train_combat:fighter_talk_train_combat_2|Um duelo de treino é uma excelente maneira de se preparar para um combate real. Vamos lutar com armas não letais agora até que um de nós caia no chão. Você pode ganhar alguns hematomas, mas é melhor do que ser cortado de verdade.
dlga_fighter_talk_train_combat_2:close_window|Vamos começar. Eu estou pronto.
dlga_fighter_talk_train_combat_2:fighter_pretalk|Na verdade eu quero fazer outra coisa.
dlga_start:fighter_parry_try_again|Bom. Você foi capaz de bloquear meus ataques com sucesso. Você pode repetir este treino e tentar ser cada vez mais rápido, até que esteja confiante em suas habilidades defensivas. Você quer tentar novamente?
dlga_start:fighter_parry_try_again.1|Bem, isso não acabou bem, não é? (Lembre-se, você deve apertar e segurar o botão direito do mouse para manter seu bloqueio.) Quer tentar novamente?
dlga_fighter_parry_try_again:fighter_talk_train_parry|Sim. Vamos tentar novamente.
dlga_fighter_parry_try_again:fighter_talk_leave_parry|Não, acho que já foi suficiente.
dlga_start:fighter_parry_warn|Ei! Estamos praticando bloqueios, companheiro! Você deveria bloquear meus ataques e não me atacar.
dlga_fighter_parry_warn:fighter_talk_train_parry|Perdão. Vamos tentar mais uma vez.
dlga_fighter_parry_warn:fighter_talk_leave_parry|Desculpe. Preciso parar com o treino agora.
dlga_fighter_talk_leave_parry:close_window|Está bem. Como você desejar.
dlga_start:fighter_combat_try_again|Bem, isso não acabou bem, não é mesmo? Não se sinta mal e tente não repetir os mesmos erros na próxima. Quer tentar novamente?
dlga_fighter_combat_try_again:fighter_talk_train_combat|Sim. Vamos mais uma rodada.
dlga_fighter_combat_try_again:fighter_talk_leave_combat|Não. Já foi o bastante para mim.
dlga_fighter_talk_leave_combat:close_window|Bem, tudo bem. Fale comigo novamente se você mudar de ideia.
dlga_start:fighter_combat_try_again.1|Ei, isso foi uma boa luta. Você me derrotou, mas da próxima vez vou ter mais cuidado. Quer tentar de novo?
dlga_start:fighter_talk.2|Muito bem. Você aprendeu como atacar por qualquer direção que você quiser. Se quiser, podemos tentar de novo ou tentar um exercício diferente.
dlga_start:archer_challenge_2|Nada mau. Nada mau mesmo! Você parece ter mestrado o básico da arquearia. Agora tente fazer o mesmo com uma besta. Pegue a besta e os virotes ali e atire nesses três alvos. A besta é muito mais fácil de se usar se comparada ao arco, mas você precisa recarregar ela depois de cada tiro.
dlga_start:archer_challenge_2.1|Boa. Você não teve muita dificuldade usando a besta também. Agora você vai aprender a usar armas de arremesso. Pegue os dardos que você está vendo ali e tente atingir os três alvos.
dlga_start:ranged_end|Bem, com isso você recebeu as habilidades básicas para usar todos os três tipos de armas de longo alcance. O resto virá com a prática. Treine todos os dias, e com o tempo, você vai ser tão bom quanto os melhores atiradores em Calradia.
dlga_ranged_end:close_window|Agora você pode ir conversar com os lutadores corpo a corpo ou o instrutor de equitação, se você ainda não o fez. Eles ensinarão você habilidades importantes também.
dlga_start:archer_talk|Bom dia, jovem. Eu passo meus dias ensinando sobre armas de longo alcance para alguém que está disposto a aprender. Se você precisa de um tutor, é só vir falar comigo e eu vou te ensinar como usar o arco, a besta e o lançamento de dardo.
dlga_archer_talk:archer_challenge|Sim, mostre-me como usar armas de longo alcance.
dlga_archer_talk:close_window|Não, não agora.
dlga_archer_challenge:archer_challenge_2|Certo. Seu primeiro treino será no tiro com arco. O arco é uma arma difícil de dominar, mas uma vez que você é suficientemente bom com ele, você será capaz de atirar rapidamente e com grande poder. Vá buscar o arco e flechas ali e dispare nesses alvos.
dlga_archer_challenge_2:close_window|Tudo bem, estou pronto.
dlga_archer_challenge_2:close_window.1|Só um momento. Eu preciso fazer outra coisa primeiro.
dlga_start:horseman_melee_challenge_2|Espero que tenha gostado do passeio. Agora vamos para algo um pouco mais difícil. Pegue a lança que você vê ali e cavalgue pelo percurso batendo em cada alvo pelo menos uma vez.
dlga_start:horseman_melee_challenge_2.1|Bom! Você foi capaz de atingir todos os alvos a cavalo. Isso não é tarefa fácil para um iniciante. Seu próximo desafio será usar um arco e flechas para atirar nos alvos na estrada. Você precisa colocar uma flecha para cada alvo para ser considerado bem sucedido.
dlga_start:horsemanship_end|Muito bem. Você foi capaz de atingir todos os alvos enquanto cavalgava. Continue cavalgando e praticando todos os dias e logo se tornará um cavaleiro perito.
dlga_horsemanship_end:close_window|Agora, você pode ir conversar com os lutadores corpo a corpo ou o instrutor de tiro com arco, se você ainda não o fez. Você precisa aprender tudo que puder para estar preparado para se defender.
