menu_start_game_0|Benvindo, aventureiro, ao Mount and Blade: Warband. Antes de começar o jogo você deve criar seu personagem. Lembre-se que na tradicional sociedade medieval mostrada no jogo, guerra e política eram dominadas por homens membros da nobreza. Isso não quer dizer que você não deva jogar com um personagem feminino, ou um que não seja nascido nobre. Homens nobres terão um começo mais fácil, mas mulheres e gente comum podem atingir os mesmos objetivos -- e podem ter um começo de jogo mais interessante e desafiador.
mno_continue|Continuar...
mno_go_back|Voltar
menu_start_phase_2|Você ouviu sobre Calradia, uma terra rasgada por batalhas de reinos rivais que buscam a supremacia, um refúgio para cavalheiros e mercenários, cortadores de gargantas e aventureiros, todos dispostos a arriscar suas vidas em busca de fortuna, poder e glória... Nessa terra que contém muitos perigos e ainda maiores oportunidades, você acredita que pode deixar seu passado para trás e começar uma nova vida. Você sente que finalmente tem a chave do seu destino em suas mãos, livre para escolher e decidir, e seja qual for o rumo que tomar, grandes aventuras o aguardam. Atraído por histórias de Calradia e seus reinos, você...
mno_town_1|se une a uma caravana para Praven, no Reino de Swadia.
mno_town_2|se une a uma caravana para Reyvadin, no Reino dos Vaegirs.
mno_town_3|se une a uma caravana para Tulga, no Khergit Khanate.
mno_town_4|pega um barco para Sargoth, no Reino dos Nords.
mno_town_5|pega um barco para Jelkala, no Reino dos Rhodoks.
mno_town_6|se une a uma caravana para Shariz, no Sarranid Sultanate.
menu_start_game_3|Escolha o seu cenário:
menu_tutorial|Você se aproxima de um campo onde os moradores estão praticando com armas. Você pode praticar aqui para melhorar suas habilidades de combate.
mno_go_back_dot|Voltar.
menu_reports|Renome do personagem: {reg5}^Valor de Honra: {reg6}^Moral da Tropa: {reg8}^Tamanho da Tropa: {reg7}^
mno_view_character_report|Ver relatório do personagem.
mno_view_party_size_report|Ver relatório do tamanho da tropa.
mno_view_npc_mission_report|Ver relatório de missões dos companheiros.
mno_view_weekly_budget_report|Ver relatório do orçamento semanal.
mno_view_morale_report|Ver relatório do moral da tropa.
mno_lord_relations|Ver a lista de lordes conhecidos por relação.
mno_courtship_relations|Ver relações de cortejo.
mno_view_faction_relations_report|Ver relatório de relação com facções.
mno_resume_travelling|Retomar a viagem.
menu_custom_battle_scene|(NO TRANS)
menu_custom_battle_end|A batalha acabou. {s1} Seu lado matou {reg5} inimigos e perdeu {reg6} guerreiros durante a batalha. Você matou pessoalmente {reg7} homens nos combates.
menu_start_game_1|Selecione o gênero do seu personagem.
mno_start_male|Masculino
mno_start_female|Feminino
menu_start_character_1|Você nasceu anos atrás, em uma terra distante. Seu pai era...
mno_start_noble|um nobre empobrecido.
mno_start_merchant|um comerciante viajante.
mno_start_guard|um guerreiro veterano.
mno_start_forester|um caçador.
mno_start_nomad|um nômade da estepe.
mno_start_thief|um ladrão.
menu_start_character_2|{s10}^^ Você começou a aprender sobre o mundo assim que começou a andar e falar. Na sua infância você foi...
mno_page|um pajem na corte de um nobre.
mno_apprentice|um aprendiz de artesão.
mno_stockboy|um assistente de loja.
mno_urchin|{um garoto/uma garota} de rua.
mno_nomad|uma criança da estepe.
menu_start_character_3|{s11}^^ Então, como um adulto jovem, a vida mudou, como sempre muda. Você se tornou...
mno_squire|{um escudeiro/uma escudeira}.
mno_lady|uma dama de companhia.
mno_troubadour|um trovador.
mno_student|um estudante de universidade.
mno_peddler|um vendedor ambulante.
mno_craftsman|um ferreiro.
mno_poacher|um larápio dos jogos.
menu_start_character_4|{s12}^^ Mas logo tudo mudou e você decidiu se tornar um aventureiro. O que fez você tomar essa decisão foi...
mno_revenge|vingança pessoal.
mno_death|a perda de um ente querido.
mno_wanderlust|vontade de conhecer o mundo.
mno_disown|por ser forçado para fora de casa.
mno_greed|a gana por dinheiro e poder.
menu_choose_skill|{s13}
mno_begin_adventuring|Torne-se um aventureiro e cavalgue para seu destino.
menu_past_life_explanation|{s3}
mno_view_next|{s5}
menu_morale_report|{s1}
menu_courtship_relations|{s1}
menu_lord_relations|{s1}
menu_companion_report|{s7}{s1}
menu_character_report|{s9}
menu_party_size_report|{s1}
menu_faction_relations_report|{s1}
menu_camp|Você montou acampamento. O que você quer fazer?
mno_camp_action|Fazer algo.
mno_camp_wait_here|Esperar aqui por algum tempo.
mno_camp_cheat|MENU DE TRAPAÇA!
menu_camp_cheat|Selecione uma trapaça:
mno_camp_cheat_find_item|Achar um item...
menu_camp_action|Escolha uma ação:
mno_camp_recruit_prisoners|Recrutar alguns de seus prisioneiros para sua tropa.
mno_action_read_book|Escolher um livro para ler.
mno_action_rename_kingdom|Renomear seu reino.
mno_action_retire|Aposentar-se como aventureiro.
mno_camp_action_4|Voltar ao menu do acampamento.
menu_camp_recruit_prisoners|Você oferece liberdade a seus prisioneiros se eles se unirem a você como soldados. {s18}
mno_camp_recruit_prisoners_accept|Aceitá-los.
mno_camp_recruit_prisoners_reject|Rejeitá-los.
menu_camp_no_prisoners|Você não tem nenhum prisioneiro para recrutar.
menu_camp_action_read_book|Escolha um livro para ler:
mno_action_read_book_1|{s1}.
mno_action_read_book_2|{s1}.
mno_action_read_book_3|{s1}.
mno_action_read_book_4|{s1}.
mno_action_read_book_5|{s1}.
mno_action_read_book_6|{s1}.
mno_action_read_book_7|{s1}.
menu_camp_action_read_book_start|{s1}
menu_retirement_verify|Você está no dia {reg0}. Sua sorte atual é {reg1}. Tem certeza que você quer se aposentar?
mno_retire_yes|Sim.
mno_retire_no|Não.
menu_end_game|A decisão foi tomada, e você resolve desistir da sua vida de aventureiro e se acomodar. Você vende suas armas e armadura, reúne todo o seu dinheiro e cavalga até o pôr do sol...
mno_end_game_bye|Adeus.
menu_cattle_herd|Você encontra um rebanho de gado.
mno_cattle_drive_away|Conduzir o gado para a frente.
mno_cattle_stop|Fazer o rebanho parar.
mno_cattle_kill|Abater alguns dos animais.
mno_leave|Sair.
menu_cattle_herd_kill|Quantos animais você quer abater?
mno_cattle_kill_1|Um.
mno_cattle_kill_2|Dois.
mno_cattle_kill_3|Três.
mno_cattle_kill_4|Quatro.
mno_cattle_kill_5|Cinco.
menu_arena_duel_fight|Você e seu oponente se preparam para o duelo
menu_simple_encounter|{s2} Você tem {reg10} guerreiros aptos pra batalha, contra {reg11} deles.
mno_encounter_attack|Atacar o inimigo.
mno_encounter_order_attack|Ordenar suas tropas para atacar sem você.
mno_encounter_leave|Sair.
