ip_morale|Moral
ip_morale_text|A Moral representa a habilidade e disposição das tropas em uma companhia para buscar a resistência, bravura e disciplina que precisam para enfrentar o estresse de uma batalha ou marcha. Não é a mesma coisa que a felicidade das tropas. Tropas de elite podem reclamar e espernear sobre a dureza de uma missão -- mas ainda assim ficar em posição quando as flechas começarem a voar. Por outro lado, um comandante que dá a seus comandados tudo que eles querem pode acabar deixando eles moles, e podem desistir antes que o inimigo avance.^^ O maior impacto da Moral é no comportamento da tropa em batalha, determinando o quão agressivos elas abordam o inimigo, e a probabilidade de eles perderem a cabeça e fugir se acharem que um dos lados está na frente. A Moral também afeta a velocidade da tropa. As menos motivadas vão se mover mais lentamente, pois os homens não querem passar dos limites físicos, e irão parar com mais frequência, para esperar que os retardatários acompanhem o resto. Finalmente, uma tropa com moral baixa pode sofrer deserções.^^ Alguns fatores que afetam a Moral são intuitivos. Por exemplo, um comandante carismático com uma reputação de ganhar muitas batalhas pode infundir em seus homens um sentimento de confiança. Líderes que dão amplas e variadas formas de alimentação e que paga na hora certa, mostram que se importam pelo bem estar da tropa, e estão menos propensos a liderar para o desastre.^^ Outros fatores são menos intuitivos -- particularmente aqueles relacionados ao sentimento de coesão de uma tropa. Em uma tropa pequena, por exemplo, homens lutarão duro contra situações difíceis para não mostrar covardia diante de seus companheiros de armas. Uma tropa maior, por outro lado, pode ter essa coesão mais fraca, pois o comandante tem menos tempo para supervisionar os homens, ouvir suas queixas, e resolver suas disputas. Batalhas frequentes tornam mais fortes as ligações entre os homens, enquanto que longos períodos sem combate fará com que as tropas fiquem entediadas e briguentas.^^ O relatório da moral, acessível ao clicar em 'relatórios' irá dar ao jogador um resumo das coisas que estão afetando a moral de seus homens.
ip_economy|Economia
ip_economy_text|Cidades e vilas em Calradia precisam de uma ampla variedade de mercadorias para as suas populações permanecerem saudáveis e produtivas. O primeiro em importância é a comida. Grãos são a cultura básica de Calradia, mas as pessoas também precisam de gordura e proteína na forma de carne, peixe ou queijo. Dá quase tanto trabalho preservar a carne quanto produzi-la, para falar a verdade, então sal também está em alta demanda. Depois da comida vem o vestuário: lãs pesadas, linhos mais leves ou veludos luxuosos. Finalmente, as pessoas precisam de ferramentas dos seus comércios: instrumentos de ferro, cerâmica, trabalhos em couro e, é claro, armas, armaduras, e cavalos para guerra.^^ A maioria dos produtos agrícolas são produzidos nas vilas, enquanto que os artesãos nas cidades se especializam em bens manufaturados ou artesanais como tecidos ou instrumentos de ferro. Também, diferentes recursos podem ser encontrados em diferentes partes do país. Consequentemente, a chave para a prosperidade em Calradia é o comércio -- seja entre as vilas e cidades e o das principais cidades entre si.^^Quando o comércio flui, mercadorias estarão disponíveis e acessíveis, a população de um centro estará saudável e enérgica, e migrantes se reunirão vindos das regiões vizinhas. O centro vai produzir mais, consumir mais, e poder contribuir mais em impostos para seus Lordes. Quando o comércio seca, cidades e vilas verão seus trabalhadores abandonarem para procurar trabalho em outro lugar, e a atividade econômica irá flutuar para uma paralisação. Portanto, é do interesse dos governantes proteger as rotas de comércio contra os perigos da guerra e o banditismo. Um comerciante esperto, porém, poderá querer procurar cidades que se tornaram isoladas do resto da região, assim ele ou ela pode ser capaz de obter um lucro vindo do desequilíbrio de preços resultante.^^Porque moradores das vilas geralmente planejam levar seus produtos para o mercado das cidades, mercados de vilas serão lugares bastante tranquilos, e moradores dali vão comprar barato e vender caro. Comerciantes sérios vão se enfiar nas cidades para fazer um lucro, embora algumas tropas possam decidir fazer uma parada rápida em uma vila pra adquirir suprimentos.^^Um jogador que queira saber sobre os fatores que afetam a prosperidade da região pode falar com o prefeito da cidade local. Outras informações podem ser coletadas a partir de transeuntes, embora eles não devam saber muito fora de sua área de atuação.
ip_courtship|Cortejo
ip_courtship_text|Jogadores podem querer casar e fazer parte de uma das famílias nobres de Calradia. O casamento não é necessário para alguém subir em poder e estatus, mas ele fornece uma oportunidade de melhorar sua relação com Lordes e estabelecer uma reivindicação ao trono.^^Requisitos de casamento serão diferentes para homens e mulheres. Um personagem masculino geralmente precisará seguir um caminho tradicional de cortejo. Ele deve estabelecer uma reputação na sociedade aristocrática, estar em bons termos com os pais ou guardiões da moça e então esperar a noiva de acordo com os costumes locais. Se um jogador ficar impaciente, ele pode tentar pegar um atalho -- mas haverá consequências nas suas relações com outros Lordes.^^Um personagem masculino deve ter em mente que outros Lordes estarão competindo com ele pela afeição das moças do Reino. Também, o gosto de uma donzela é imprevisível, e um jogador pode também descobrir que o objeto de seu amor não o ama em troca. Romance, em Calradia como em outros lugares, nem sempre prospera. É claro, um jogador pode recorrer a outros meios menos cavalheirescos, para ganhar o coração de uma mulher, mas novamente, isso terá um impacto grave em sua reputação.^^Para começar no caminho do cortejo, um jogador masculino deve tentar se envolver na vida social da aristocracia de Calradia, frequentar festas e torneios. E também, trovadores vagantes e poetas podem servir como um repositório útil de informação sobre cortejo e para se manter atualizado sobre as últimas fofocas.^^Personagens femininas também podem se casar -- mas elas devem ter em mente que estas sociedades são muito tradicionais, e, como aventureiras, elas escolheram um caminho muito pouco convencional para uma mulher. Uma personagem feminina pode ter que procurar por um bom tempo até encontrar um Lorde que esteja de mente aberta o suficiente para se casar com ela.^^Pelo lado positivo, uma personagem feminina não tem que atravessar os elaborados rituais de cortejo, e ela também pode ganhar mais com um casamento do que sua contraparte masculina. Para uma aventureira mulher, o casamento pode ser um caminho rápido para o poder -- e uma personagem sem escrúpulos pode ser capaz de usar seu marido como um instrumento de suas ambições políticas.
ip_politics|Política
ip_politics_text|Embora representem diferentes culturas, todos reinos de Calradia aderem ao mesmos sistema de político básico: o feudalismo. O Feudalismo é baseado nas relações entre indivíduos: os juramentos de fidelidade feito pelo vassalo com seu suserano. Em troca desse juramento, o vassalo geralmente recebe um feudo, uma parcela de terra cuja renda será usada pelo vassalo para juntar tropas e apoiar o suserano em tempos de guerra. Um suserano também tem a obrigação de proteger seus vassalos, e de tratá-los com justiça.^^De qualquer forma, isso é como funciona em teoria. Na prática, vassalos nem sempre atuaram de acordo com os interesses de sua facção, pois na maior parte das vezes eles estão brigando entre si. Os nobres têm diferentes personalidades, e algumas vezes essas personalidades se defrontam. Ou, talvez, dois nobres que eram amigos podem se tornar rivais, seja porque uma derrota ocorreu, seja por causa de uma dama, etc. A inveja também é um fator importante, pois todos gostam da atenção do rei -- talvez para obter mais terras, ou para ser nomeado General, o lorde encarregado de organizar campanhas militares de grande escala.^^Quando um reino de Calradia faz guerra com outro, a unidade política de cada reino é tão importante quanto a qualidade ou o número de soldados para determinar quem vence. Em um reino coeso, os nobres agirão juntos como uma grande força para varrer seus oponentes o quanto antes. Em um reino dividido por brigas mesquinhas, lordes irão falhar em se apresentar a seu General, ou simplesmente abandonar uma campanha que não vai bem para lidar com seus próprios assuntos. A coesão política de uma facção também afeta a guerra, mesmo que não haja uma campanha em curso. Em uma nação dividida, os lordes sentirão menos vontade de agir juntos em assaltos a cidades/vilas, a formar patrulhas, e a vir em defesa um do outro.^^Se parece que uma derrota é causada pela própria condição de rixas entre os nobres quando o inimigo está aparecendo no horizonte, lembre-se disso -- como última medida, a lealdade de um nobre não se dá a uma facção ou cultura em particular, mas ela vale para si mesmo e para sua família. Se um nobre teme que sua facção está ruindo, ou caso ele esteja sendo esquecido por seu suserano, ele pode achar isso como um motivo para desfazer seu juramento e mudar de lado. Jogadores também devem ficar atentos a isso, pois podem encontrar uma boa oportunidade transformar inimigos descontentes em aliados.
ip_character_backgrounds|Antecedentes do Personagem
ip_character_backgrounds_text|Um personagem do jogador em Calradia pode escolher vir de uma série de antecedentes sociais. Essa escolha vai afeta não somente suas perícias e equipamento iniciais, mas também o curso de sua carreira como um aventureiro.^^Guerra e política em Calradia são aspectos dominados pela aristocracia e pelos homens. Um personagem jogador de ascendência nobre verá que ele será convidado a participar da brincadeira bem cedo, mas mulheres e não nobres poderão enfrentar dificuldades a mais pelo caminho. Se deseja começar o jogo com um homem nobre, você estará adotando o modo 'fácil'. Começar como uma mulher nobre ou um homem comum é um pouco mais difícil, e começar como uma mulher comum é provavelmente a forma mais desafiadora de começar o jogo.^^Contudo, mulheres têm uma vantagem inicial. Simplesmente por empunhar armas, uma guerreira irá facilmente atrair atenção para si, e ela descobrirá que pode aumentar sua reputação mais facilmente que um homem. Também, é tradicionalmente mais fácil para uma mulher subir em sua escala social pelo casamento do que um homem, e uma mulher verá que pode obter mais vantagens estratégicas com tais alianças matrimoniais do que os homens.^^^Finalmente, lembre-se que o jogo não põem limites na capacidade de ascensão do personagem por causa de seus antecedentes. Nobre ou comum, homem ou mulher, casado ou solteiro -- todos podem se tornar governantes de toda Calradia, se forem bravos, sortudos ou cheio de recursos.
ip_military_campaigns|Campanhas Militares
