imod_plain|%s simples
imod_cracked|%s com rachaduras
imod_rusty|%s com ferrugem
imod_bent|%s com curvaturas
imod_chipped|%s com lascas
imod_battered|%s com sinais de uso
imod_poor|%s pobre
imod_crude|%s rude
imod_old|%s com desgaste
imod_cheap|%s inferior
imod_fine|%s decente
imod_well_made|%s superior
imod_sharp|%s cortante
imod_balanced|%s com ajuste
imod_tempered|%s com tratamento
imod_deadly|%s mortal
imod_exquisite|%s com enfeites
imod_masterwork|%s obra prima
imod_heavy|%s com mais peso
imod_strong|%s forte
imod_powerful|%s com mais poder
imod_tattered|%s em farrapos
imod_ragged|%s feito grosseiramente
imod_rough|%s rude
imod_sturdy|%s firme
imod_thick|%s com solidez
imod_hardened|%s com dureza
imod_reinforced|%s com reforço
imod_superb|%s sublime
imod_lordly|%s com altivez
imod_lame|%s manco
imod_swaybacked|%s com costas curvas
imod_stubborn|%s teimoso
imod_timid|%s tímido
imod_meek|%s manso
imod_spirited|%s espirituoso
imod_champion|%s campeão
imod_fresh|%s recente
imod_day_old|%s de um dia
imod_two_day_old|%s de dois dias
imod_smelling|%s fedendo
imod_rotten|%s podre
imod_large_bag|Grande bolsa de %s
