pt_none|nenhum
pt_rescued_prisoners|Prisioneiros Resgatados
pt_enemy|Inimigo
pt_hero_party|Companhia do Herói
pt_village_defenders|Defensores da Vila
pt_cattle_herd|Rebanho de Gado
pt_looters|Saqueadores
pt_manhunters|Caçadores de recompensa
pt_steppe_bandits|Bandidos das Estepes
pt_taiga_bandits|Bandidos da Tundra
pt_desert_bandits|Bandidos do Deserto
pt_forest_bandits|Bandidos da Floresta
pt_mountain_bandits|Bandidos da Montanha
pt_sea_raiders|Corsários
pt_deserters|Dertores
pt_merchant_caravan|Caravana Mercantil
pt_troublesome_bandits|Bandidos Problemáticos
pt_bandits_awaiting_ransom|Bandidos Aguardando Pagamento do Resgate
pt_kidnapped_girl|Garota Sequestrada
pt_village_farmers|Fazendeiros da Vila
pt_spy_partners|Viajantes Sem Marca
pt_runaway_serfs|Servos em Fuga
pt_spy|Cidadão Comum
pt_sacrificed_messenger|Mensageiro Sacrificado
pt_forager_party|Companhia de Suprimentos
pt_scout_party|Batedores
pt_patrol_party|Patrulha
pt_messenger_party|Mensageiro
pt_raider_party|Saqueadores
pt_raider_captives|Cativos dos Saqueadores
pt_kingdom_caravan_party|Caravana
pt_prisoner_train_party|Caravana de Prisioneiros
pt_default_prisoners|Prisioneiros Padrão
pt_routed_warriors|Inimigos Afugentados
pt_center_reinforcements|Reforços
pt_kingdom_hero_party|Tropa de Guerra
pt_steppe_bandit_lair|Covil dos Bandidos das Estepes
pt_taiga_bandit_lair|Covil dos Bandidos da Tundra
pt_desert_bandit_lair|Covil dos Bandidos do Deserto
pt_forest_bandit_lair|Acampamento dos Bandidos da Floresta
pt_mountain_bandit_lair|Esconderijo dos Bandidos da Montanha
pt_sea_raider_lair|Local de Desembarque dos Corsários
pt_looter_lair|Esconderijo dos Sequestradores
pt_leaded_looters|Bando de Assaltantes
