qst_deliver_message|Entregar Mensagem para {s13}
qst_deliver_message_to_enemy_lord|Entregar Mensagem para {s13}
qst_raise_troops|Juntar {reg1} {s14}
qst_escort_lady|Escoltar {s13} para {s14}
qst_deal_with_bandits_at_lords_village|Salvar a Vila de {s15} de Bandidos Saqueadores
qst_collect_taxes|Coletar Impostos de {s3}
qst_hunt_down_fugitive|Caçar {s4}
qst_kill_local_merchant|Assassinar Comerciante Local em {s3}
qst_bring_back_runaway_serfs|Trazer de Volta Servos Fugitivos
qst_follow_spy|Seguir o Espião até o Encontro
qst_capture_enemy_hero|Capturar um Lorde de {s13}
qst_lend_companion|Emprestar seu Companheiro {s3} para {s9}
qst_collect_debt|Coletar o Débito que {s3} Tem com {s9}
qst_incriminate_loyal_commander|Incriminar o Comandante de {s13}, {s16}
qst_meet_spy_in_enemy_town|Encontrar-se com Espião em {s13}
qst_capture_prisoners|Trazer {reg1} Prisioneiros para {s3}
qst_lend_surgeon|Emprestar Seu Cirurgião {s3} para {s1}
qst_follow_army|Seguir o Exército de {s9}
qst_report_to_army|Apresentar-se para {s13}, o General
qst_deliver_cattle_to_army|Entregar {reg3} Cabeças de Gado para {s13}
qst_join_siege_with_army|Juntar-se ao Cerco de {s14}
qst_screen_army|Observar o Avanço do Exército de {s13}
qst_scout_waypoints|Patrulhar {s13}, {s14} e {s15}
qst_rescue_lord_by_replace|Resgatar {s13} de {s14}
qst_deliver_message_to_prisoner_lord|Entregar Mensagem para {s13} em {s14}
qst_duel_for_lady|Desafiar {s13} para Um Duelo
qst_duel_courtship_rival|Desafiar {s13} para Um Duelo (opcional)
qst_duel_avenge_insult|Desafiar {s13} para Um Duelo
qst_move_cattle_herd|Mover o Rebanho para {s13}
qst_escort_merchant_caravan|Escoltar Caravana para {s8}
qst_deliver_wine|Entregar {reg5} Unidades de {s6} para {s4}
qst_troublesome_bandits|Caçar Bandidos Problemáticos
qst_kidnapped_girl|Resgatar Garota dos Bandidos
qst_persuade_lords_to_make_peace|Garantir que Dois Lordes Não Contestem a Paz
qst_deal_with_looters|Lidar Com Saqueadores
qst_deal_with_night_bandits|Lidar com Bandidos Noturnos
qst_deliver_grain|Trazer trigo para {s3}
qst_deliver_cattle|Entregar {reg5} Cabeças de Gado para {s3}
qst_train_peasants_against_bandits|Treinar os Aldeões de {s13} Contra Bandidos
qst_eliminate_bandits_infesting_village|Salvar a Vila de {s7} dos Bandidos Saqueadores
qst_visit_lady|Visitar Dama
qst_formal_marriage_proposal|Pedido Formal de Casamento
qst_obtain_liege_blessing|Pedido Formal de Casamento
qst_wed_betrothed|Casar com Sua Noiva
qst_wed_betrothed_female|Casar com Sua Noiva
qst_join_faction|Prestar Juramento de Fidelidade a {s1}
qst_rebel_against_kingdom|Ajudar {s13} a Conquistar o Trono de {s14}
qst_consult_with_minister|Consultar Com Ministro
qst_organize_feast|Organizar Festa
qst_resolve_dispute|Resolver Disputa
qst_offer_gift|Adquirir Presente
qst_denounce_lord|Denunciar Lorde
qst_intrigue_against_lord|Criar Intriga Contra Lorde
qst_track_down_bandits|Localizar Bandidos
qst_track_down_provocateurs|Localizar Provocadores
qst_retaliate_for_border_incident|Retaliar Incidente de Fronteira
qst_raid_caravan_to_start_war|Atacar Caravana Neutra para Provocar Guerra
qst_cause_provocation|Fazer Um Reino Provocar o Outro à Guerra
qst_rescue_prisoner|Salvar ou Resgatar um Prisioneiro
qst_destroy_bandit_lair|Destruir Covil dos Bandidos
qst_collect_men|Juntar Cinco Homens
qst_learn_where_merchant_brother_is|Descobrir Onde Reféns São Mantidos
qst_save_relative_of_merchant|Atacar Covil dos Bandidos
qst_save_town_from_bandits|Salvar a Cidade dos Bandidos
qst_quests_end|Quests End
