qstr_Next_Page|Próxima página
qstr_Game_Rules:^|Regras do jogo:^
qstr_0|0
qstr_Lv._{reg0}|Nv. {reg0}
qstr_Show_game_rules|Mostrar regras do jogo
qstr_Continue...|Continuar...
qstr_Candidate_#1:_{s1}|Candidato #1: {s1}
qstr_Candidate_#2:_{s1}|Candidato #2: {s1}
qstr_{s3}_of_{s4}_wishes_|{s3} de {s4} deseja selecionar um novo general e convida seus vassalos para um conselho. {s1} e {s2} são os prováveis candidatos.
qstr_Who_do_you_wish_to_s|Quem você gostaria de apoiar?
qstr_{s1}_gives_his_suppo|{s1} dá seu apoio para {s2}.
qstr_Number_of_Supporters|Número de apoiadores: {reg0}
qstr_{s2}_has_heard_his_v|{s2} ouviu o conselho dos seus vassalos. Ele seleciona {s1} como general de {s3}.
qstr_Action|Ação
qstr_Mount|Montar
qstr_Attack_Type|Tipo de Ataque
qstr_Stand_Ground|Manter a posição
qstr_Charge|Carga
qstr_Follow_Me|Sigam-me
qstr_Hold_This_Position|Mantenham essa posição
qstr_Spread_Out|Espalhem-se
qstr_Stand_Closer|Fiquem próximos
qstr_Fall_Back|Recuar
qstr_Advance|Avançar
qstr_Dismount|Desmontar
qstr_Fire_At_Will|Atirar a Vontade
qstr_Hold_Your_Fire|Cessar Fogo
qstr_Use_Blunt_Weapons|Usar Armas Contundentes
qstr_Use_Any_Weapon|Usar Qualquer Arma
qstr_Ready|Prontos
qstr_Wounded|Feridos
qstr_Dead|Mortos
qstr_Number_of_men_knocke|Número de Homens Derrotados: {reg1}
qstr_Number_of_men_left:_|Número de Homens Restantes: {reg1}
qstr_Opponents_Beaten:_{r|Inimigos Derrotados: {reg1}
qstr_Opponents_Remaining:|Inimigos Restantes: {reg1}
qstr_Remain_in_retirement|Continuar aposentad{o/a}.
qstr_Go_back_to_the_adven|Voltar a aventurar-se.
qstr_You_have_retired_at_|Você se aposentou no nível {reg4} aos seus {reg5} dias de aventura.
qstr_Effect_on_Score|Efeito no Escore
qstr_Settlements_owned_by|Assentamentos possuídos por você: {reg0}
qstr_Friendly_Settlements|Assentamentos Aliados: {reg0}
qstr_Hostile_Settlements:|Assentamentos inimigos: {reg0}
qstr_Friendly_Lords:_{reg|Lordes Aliados: {reg0}
qstr_Enemy_Lords:_{reg0}|Lordes Inimigos: {reg0}
qstr_Victories:_{reg0}|Vitórias: {reg0}
qstr_Defeats:_{reg0}|Derrotas: {reg0}
qstr_Quests_Completed:_{r|Missões Concluídas: {reg0}
qstr_Companions_Found:_{r|Companheiros Encontrados: {reg0}
qstr_Companions_Lost/Depa|Companheiros Perdidos: {reg0}
qstr_Wealth:_{reg0}_denar|Riqueza: {reg0} dinares
qstr_Inventory:_{reg0}_de|Inventário: {reg0} dinares
qstr_Renown:_{reg0}|Renome: {reg0}
qstr_Experience:_{reg0}|Experiência: {reg0}
qstr_Days_Passed:_{reg0}|Dias Passados: {reg0}
qstr_Difficulty:_{reg0}%|Dificuldade: {reg0}%
qstr_TOTAL_SCORE:_{reg0}|ESCORE TOTAL: {reg0}
qstr_None|Nenhum
qstr_{s1}_of_{s3}_was_def|{s1} de {s3} foi derrotado em batalha mas conseguiu escapar.
qstr_{s54}_is_a_claimant_|{s54} é um pretendente ao trono de {s56}.
qstr_nowhere|lugar algum
qstr_{s57}_and_{s58}|{s57} e {s58}
qstr_{reg3?She:He}|{reg3?Ela:Ele}
qstr_The_town_of_{s50}|A cidade de {50}
qstr_The_village_of_{s50}|A vila de {s50} perto de {s52}
qstr_{s51}_belongs_to_{s1|{s51} pertence a {s1} de {s2}.^
qstr_{s7}_and_{s8}|{s7} e {s8}
qstr_{s2}It_has_no_villag|{s2}Ela não possui vilas.^
qstr_{s2}{reg0?Its_villag|{s2}{reg0?Suas vilas são:Sua vila é} {s8}.^
qstr_{s2}Its_prosperity_i|{s2}Sua prosperidade é: {s50}
qstr_noone|nenhuma
qstr_{s9}_and_{s10}|{s9} e {s10}
qstr_{s5}_has_been_defeat|{s5} foi derrotado!
qstr_{s7}_opened_the_gate|{s7} abriu o portão
qstr_{s7}_closed_the_gate|{s7} fechou o portão
qstr_+{reg1}_to_party_mor|+{reg1} para o moral da tropa
qstr_Requires_{reg1}_inte|Precisa de {reg1} pontos de Inteligência para ler
qstr_Reading_Progress:_{r|Progresso da Leitura: {reg1}%
qstr_wound_treament|tratamento de feridas
qstr_trainer|treinador
qstr_surgery|cirurgia
qstr_+1_to_{s1}_while_in_|+1 para {s1} quando no inventário
qstr_Move_here|Mover aqui
qstr_View_notes|Ver notas
qstr_Accompany|Acompanhar
qstr_killed|mortos
qstr_wounded|feridos
qstr_{s0}^TOTAL:_{reg3}__|{s0}^TOTAL: {reg3} ({s2})
qstr_^None|^Nenhum
qstr_nothing|nada
qstr_{reg0}_village{reg1?|{reg0} vlia{reg1?s:}
qstr_{reg0}_castle{reg1?s|{reg0} castelos{reg1?s:}
qstr_{reg0}_castle{reg1?s:|{reg0} castelo{reg1?s:} e {s0}
qstr_{reg0}_town{reg1?s:}|{reg0} cidade{reg1?s:}
qstr_{reg0}_town{reg1?s:}_|{reg0} cidade{reg1?s:} e {s0}
qstr_{reg0}_town{reg1?s:}_{|{reg0} cidade{reg1?s:}, {s0}
qstr_Your_opponents_are_r|Seus oponentes estão prontos para a luta.
qstr_Try_to_destroy_as_ma|Tente destruir o máximo de alvos que puder. Você tem 2 minutos e meio para limpar a pista
qstr_Stay_behind_the_line|Fique atrás da linha no chão e atire nos alvos. Tente não errar.
qstr_Battle_Advantage_=__{|Vantagem em batalha = {reg0}."
qstr_{s9}_wants_you_to_re|{s9} quer que você continue seguindo o exército dele até segunda ordem.
qstr__Being_Raided_|(Sendo Devastada)
qstr__Looted_|(Pilhada)
qstr__Under_Siege_|(Sob Cerco)
qstr_The_village_of_{s1}_|A vila de {s1} foi pilhada por {s2}.
qstr_{s3}_is_no_longer_un|{s3} não está mais sob cerco.
qstr_Small_bands_of_enemi|Pequenos bandos de inimigos vistos perto de {s1}.
qstr_Enemy_patrols_spotte|Patrulhas do inimigo vistas perto de {s1}.
qstr_Medium_sized_group_o|Grupo de inimigos médio visto perto de {s1}.
qstr_Significant_group_of|Grupo de inimigos significante visto perto de {s1}.
qstr_Army_of_enemies_spot|Exército de inimigos vistos perto de {s1}.
qstr_Large_army_of_enemie|Grande exército de inimigos vistos perto de {s1}.
qstr_Great_host_of_enemie|Muitas hostes inimigas vistas perto de {s1}.
qstr_{s1}_has_been_besieg|{s1} foi cercada por {s2} de {s3}.
qstr__{s1}__{s11}:_{s14}|({s1}) {s11}: {s14}
qstr_{s14}__{s21}_|{s14} ({s21})
qstr_{s1}_is_the_new_mars|{s1} é o novo General de {s2}.
qstr_You_gained_{reg12}_r|Você ganhou {reg12} pontos de renome.
qstr_You_lose_{reg12}_ren|Você perdeu {reg12} pontos de renome.
qstr_Your_relation_with_{|Sua relação com {s1} melhorou.
qstr_Your_relation_with_{s|Sua relação com {s1} deteriorou-se.
qstr_You_gain_honour.|Você ganhou honra.
qstr_You_lose_honour.|Você perdeu honra.
qstr_{s1}_has_declared_wa|{s1} declarou guerra contra {s2}.
qstr_{s1}_and_{s2}_have_m|{s1} e {s2} estão agora em paz.
qstr_{s2}_{reg3?was:is_cu|{s2} {reg3? esteve: está atualmente} em {s3}.
qstr_{s2}_{reg3?was:is}_t|{s2} {reg3? esteve: está} viajando para {s3,} e {reg4?ela:ele} {reg3?Devia Estar:deve estar} perto de {s4} {reg3?: no momento}.
; qstr_{s2}_{reg3?was:is}_i|{s2} {reg3?was:is} in the field and {reg4?she:he} {reg3?was:should be} close to {s3}{reg3?: at the moment}.
qstr_{s2}_{reg3?was:is}_b|{s2} {reg3? esteve:está} mantido em cativeiro em {s3}.
qstr_{s2}_{reg3?was:has_b|{s2} {reg3?estava:foi} levado em cativeiro por {reg4? seus:seus} inimigos.
; qstr_{reg3?{s2}_s_locatio|{reg3?{s2}'s location was unknown:I don't know where {s2} is}.
qstr_{s6}_has_joined_your|{s6} juntou-se às suas tropas.
qstr_You_now_owe_{reg2}_d|Você agora deve {reg2} denars a {S1}.
; qstr_Renown_value_for_thi|Renown value for this battle is {reg8}.
qstr_You_have_run_into_a_|Você caiu em uma armadilha!
qstr_You_are_attacked_by_|Você é atacado por um grupo de bandidos!
qstr_Holding|Protegendo
qstr_Following|Seguindo
qstr_Charging|Atacando
qstr_Advancing|Avançando
qstr_Falling_Back|Recuando
qstr_Standing_Closer|Aproximando-se
qstr_Spreading_Out|Espalhando-se
qstr_Standing|Permanecendo
qstr_N/A|N/A
qstr_Free|Livre
qstr_Any_Weapon|Qualquer Arma
qstr_Blunt_Weapons|Armas Sem Corte
qstr_{s1}_Rebels|{s1} Rebeldes
qstr_Given_by:_{s62}|Dada por: {s62}
qstr_Given_on:_{s60}|Dada em: {s60}
qstr_You_have_{reg0}_days|Você tem {reg0} dias para terminar esta missão.
qstr_This_quest_has_been_|Esta missão foi concluída. Fale com {s59} para encerrá-la.
qstr_This_quest_has_been_s|Esta missão foi concluída com êxito. Fale com {s59} para obter sua recompensa.
qstr_This_quest_has_faile|Esta missão falhou. Fale com {s59} para explicar a situação.
qstr_At_the_time_quest_wa|Na época a busca foi dada: ^ {s1}
qstr_{s5}_has_a_strength_|{s5} possui a força de {reg1} homens no total.
qstr_The_last_time_you_sa|A última vez que você viu {reg1?her:him}, {s1}
; qstr_The_last_time_you_he|The last time you heard about {reg1?her:him}, {s1}
