ui_texture_detail|Detalhe de Texturas:
ui_max_frame_rate|Taxa de Quadros Máxima:
ui_enable_bumpmap|Usar Bump Mapping
ui_disable_blood|Esconder Sangue
ui_disable_music|Desabilitar Música
ui_disable_sound|Desabilitar Som
ui_enable_cheats|Ativar Trapaças
ui_enable_edit_mode|Ativar Modo de Edição (Isso deixa o jogo lento)
ui_enable_pixel_shaders|Usar Pixel Shaders
ui_enable_sound_variation|Ativar Sound Variation
ui_enable_vertex_shaders|Método de Renderização:
ui_shadow_quality|Qualidade de Sombras:
ui_directx_7|DirectX 7
ui_directx_9|DirectX 9
ui_show_framerate|Mostrar Taxa de Quadros:
ui_start_windowed|Começar em Modo Janela
ui_trialmode_caption|Ativação
ui_trialmode|Por favor ative o seu Mount&Blade Warband com seu número de serial. Seu número único de 16 dígitos está incluído dentro da caixa do produto.\nSe não deseja ativar o jogo agora por qualquer que seja o motivo, você ainda pode jogar o jogo em modo de teste, contudo não será capaz de avançar o seu personagem acima do nível 8.
ui_launch_buy|Comprar uma Licença em TalesWorlds.com
ui_launch_faq|Perguntas Frequentes Sobre a Ativação
ui_trialmode2|Para poder ativar o jogo agora...
ui_trialmode3|Ou você também pode...
ui_trialmode4|Se tiver quaisquer dúvidas sobre o processo de ativação, você pode ler...
ui_serial_key_caption|Número de Serial
ui_notification_serial_input|Entre com seu número de serial abaixo (você pode copiar e colar ele) e clique no botão Ativar
ui_notification_serial_input_vc|Essa modificação precisa de uma chave serial VIking Conquest para funcionar. Entre com sua chave serial Viking Conquest abaixo (você pode copiar e colar) e clique no botão Ativar
ui_activate|Ativar
ui_paste|Colar
ui_notification_serial_internet_connection|A Ativação precisa de conexão com a Internet!
ui_notification_serial_offline|Se esse computador não tem acesso a internet você também pode usar:
ui_manual_activation|Ativação Manual
ui_offline_activation|Ativação Offline
ui_manual_activation_caption|Ativação Manual
ui_offline_activation_caption|Ativação Offline
ui_cancel2|Cancelar
ui_close|Fechar
ui_ok2|OK
ui_activation_successful|O jogo foi ativado com sucesso
ui_activation_successful2|Por favor salve seu número de serial para uso futuro. Você pode precisar dele no futuro se quiser instalar Mount&&Blade Warband em um novo computador.
ui_activation_denied|Ativação Negada!
ui_notification_serial_already_used|O Número de Serial já está sendo usado por outro computador. Você precisa esperar algumas semanas para reativar o jogo nesse computador.
ui_notification_unable_to_connect_to_activation_server|Incapaz de se conectar ao servidor de ativação!
ui_notification_unable_to_connect_to_activation_server2|Por favor certifique-se que sua conexão com a internet está ativa e funcionando corretamente e tente novamente. Se estiver usando um firewall, você pode precisar dar autorização para que o jogo acesse a internet. Se ainda assim falhar, você ainda pode usar a ativação manual.
ui_incorrect_serial_number|Número de Serial Incorreto!
ui_incorrect_hardware_hash|Hardware Hash Incorreto!
ui_incorrect_activation_code|Código de Ativação Incorreto!
ui_cant_write_to_registry|Incapaz de Escrever no Registro!
ui_video|Vídeo
ui_audio|Audi
ui_game|Jogo
ui_advanced|Avançado
ui_mount_and_blade_is_ready|Mount&&Blade Warband está pronto.
ui_notification_trial_mode|Mount&&Blade Warband está rodando em Modo Teste. Nesse modo você pode jogar livremente até seu personagem atingir o nível 6. Para continuar além disso, por favor compre uma licença em talesworlds.com. Só leva um minuto para adquirir uma licença online e desbloquear todas as funcionalidades do jogo.
ui_there_are_no_modules_installed|Não há modificações instaladas!
ui_notification_new_version|Uma nova versão do Mount&Blade Warband foi encontrada.\nA versão atual instalada é a %d.%d%d%d.\nA ultima versão disponível é %d.%d%d%d.\nVocê pode baixar a nova versão em www.talesworlds.com.
ui_new_version_found|Nova Versão Encontrada!
ui_notification_unable_to_retreive_new_version|Incapaz de obter informações da nova versão. Por favor tente novamente mais tarde.
ui_new_version|Nova Versão:
ui_notification_latest_version|A versão do Mount&&Blade Warband instalada é a mais recente.
ui_mount_and_blade_is_up_to_date|Mount&&Blade Warband está atualizado!
ui_off|Desligado
ui_continue_playing_the_trial_mode|Continuar jogando no Modo Teste
ui_faq_caption|Perguntas Frequentes
