imod_plain|Простой %s
imod_cracked|Сломанный %s
imod_rusty|Ржавый %s
imod_bent|Погнутый %s
imod_chipped|Побитый %s
imod_battered|Изношенный %s
imod_poor|Плохой %s
imod_crude|Грубый %s
imod_old|Старый %s
imod_cheap|Дешевый %s
imod_fine|Неплохой %s
imod_well_made|Хорошо сделанный %s
imod_sharp|Острый %s
imod_balanced|Сбалансированный %s
imod_tempered|Закалённый %s
imod_deadly|Смертельный %s
imod_exquisite|Изысканный %s
imod_masterwork|Мастерский %s
imod_heavy|Тяжёлый %s
imod_strong|Сильный %s
imod_powerful|Мощный %s
imod_tattered|Потрёпанный %s
imod_ragged|Поношенный %s
imod_rough|Грубый %s
imod_sturdy|Крепкий %s
imod_thick|Усиленный %s
imod_hardened|Закалённый %s
imod_reinforced|Перекованый %s
imod_superb|Превосходный %s
imod_lordly|Благородный %s
imod_lame|Хромой %s
imod_swaybacked|Старый %s
imod_stubborn|Упрямый %s
imod_timid|Пугливый %s
imod_meek|Кроткий %s
imod_spirited|Бойкий %s
imod_champion|Чемпионский %s
imod_fresh|Свежая %s
imod_day_old|Вчерашняя %s
imod_two_day_old|Двухдневная %s
imod_smelling|Дурно пахнущая %s
imod_rotten|Испорченная %s
imod_large_bag|Большая сумка под %s
