fac_no_faction|Ingen faktion
fac_commoners|Ofrälse
fac_outlaws|Biltogar
fac_neutral|Neutral
fac_innocents|Oskyldiga
fac_merchants|Handelsmän
fac_player_faction|Spelarfaktionen
fac_player_supporters_faction|Spelares anhängare
fac_kingdom_1|Konungariket Swadia
fac_kingdom_2|Vaegirska konungariket
fac_kingdom_3|Khergiska Khanatet
fac_kingdom_4|Nordiska konungariket
fac_kingdom_5|Konungariket Rhodokia
fac_kingdom_6|Sarranidska sultanatet
fac_manhunters|Förbrytarjägare
fac_deserters|Desertörer
fac_mountain_bandits|Bergsbanditer
fac_forest_bandits|Skogsbanditer
; fac_ccoop_all_stars|All Stars
