skl_trade|Byteshandel
; skl_trade_desc|Every level of this skill reduces your trade penalty by 5%%. (Party skill)
skl_leadership|Ledarskap
; skl_leadership_desc|Every point increases maximum number of troops you can command by 5, increases your party morale and reduces troop wages by 5%%. (Leader skill)
skl_prisoner_management|Fånghantering
; skl_prisoner_management_desc|Every level of this skill increases maximum number of prisoners by %d. (Leader skill)
skl_reserved_1|Reserverad förmåga 1
skl_reserved_1_desc|Detta är en reserverad förmåga.
skl_reserved_2|Reserverad förmåga 2
skl_reserved_2_desc|Detta är en reserverad förmåga.
skl_reserved_3|Reserverad förmåga 3
skl_reserved_3_desc|Detta är en reserverad förmåga.
skl_reserved_4|Reserverad förmåga 4
skl_reserved_4_desc|Detta är en reserverad förmåga.
skl_persuasion|Övertygelse
skl_persuasion_desc|Denna färdighet hjälper dig att övertyga personer. Den gör också så att lägsta relationen som behövs för att få en spelledarperson att göra som du kommenderar. (Personlig förmåga)
skl_engineer|Ingenjör
skl_engineer_desc|Denna färdighet tillåter dig att konstruera belägringsvapen och uppgaderingar av förläningar effektivare. (Gruppförmåga)
skl_first_aid|Första hjälpen
; skl_first_aid_desc|Heroes regain 5%% per skill level of hit-points lost during mission. (Party skill)
skl_surgery|Kirurgi
; skl_surgery_desc|Each point to this skill gives a 4%% chance that a mortally struck party member will be wounded rather than killed. (Party skill)
skl_wound_treatment|Sjukvård
; skl_wound_treatment_desc|Party healing speed is increased by 20%% per level of this skill. (Party skill)
skl_inventory_management|Inventariehantering
; skl_inventory_management_desc|Increases inventory capacity by +6 per skill level. (Leader skill)
skl_spotting|Upptäckande
; skl_spotting_desc|Party seeing range is increased by 10%% per skill level. (Party skill)
skl_pathfinding|Navigation
; skl_pathfinding_desc|Party map speed is increased by 3%% per skill level. (Party skill)
skl_tactics|Taktik
skl_tactics_desc|Varannan nivå av denna förmåga ökar stridsfördel med 1. (Gruppförmåga)
skl_tracking|Spårning
skl_tracking_desc|Fotspår blir mer informativa. (Gruppförmåga)
skl_trainer|Tränare
; skl_trainer_desc|Every day, each hero with this skill adds some experience to every other member of the party whose level is lower than his/hers. Experience gained goes as: {0,4,10,16,23,30,38,46,55,65,80}. (Personal skill)
skl_reserved_5|Reserverad förmåga 5
skl_reserved_5_desc|Detta är en reserverad förmåga.
skl_reserved_6|Reserverad förmåga 6
skl_reserved_6_desc|Detta är en reserverad förmåga.
skl_reserved_7|Reserverad förmåga 7
skl_reserved_7_desc|Detta är en reserverad förmåga.
skl_reserved_8|Reserverad förmåga 8
skl_reserved_8_desc|Detta är en reserverad förmåga.
skl_looting|Plundring
; skl_looting_desc|This skill increases the amount of loot obtained by 10%% per skill level. (Party skill)
skl_horse_archery|Beridet bågskytte
; skl_horse_archery_desc|Reduces damage and accuracy penalties for archery and throwing from horseback. (Personal skill)
skl_riding|Ridande
; skl_riding_desc|Enables you to ride horses of higher difficulty levels and increases your riding speed and manuever. (Personal skill)
skl_athletics|Atletik
; skl_athletics_desc|Improves your running speed. (Personal skill)
skl_shield|Sköld
; skl_shield_desc|Reduces damage to shields (by 8%% per skill level) and improves shield speed and coverage. (Personal skill)
skl_weapon_master|Vapenbemästrande
; skl_weapon_master_desc|Makes it easier to learn weapon proficiencies and increases the proficiency limits. Limits go as: 60, 100, 140, 180, 220, 260, 300, 340, 380, 420. (Personal skill)
skl_reserved_9|Reserverad förmåga 9
skl_reserved_9_desc|Detta är en reserverad förmåga.
skl_reserved_10|Reserverad förmåga 10
skl_reserved_10_desc|Detta är en reserverad förmåga.
skl_reserved_11|Reserverad förmåga 11
skl_reserved_11_desc|Detta är en reserverad förmåga.
skl_reserved_12|Reserverad förmåga 12
skl_reserved_12_desc|Detta är en reserverad förmåga.
skl_reserved_13|Reserverad förmåga 13
skl_reserved_13_desc|Detta är en reserverad förmåga.
skl_power_draw|Bågskytte
; skl_power_draw_desc|Lets character use more powerful bows. Each point to this skill (up to four plus power-draw requirement of the bow) increases bow damage by 14%%. (Personal skill)
skl_power_throw|Kastvapen
; skl_power_throw_desc|Each point to this skill increases throwing damage by 10%%. (Personal skill)
skl_power_strike|Närstridsvapen
; skl_power_strike_desc|Each point to this skill increases melee damage by 8%%. (Personal skill)
skl_ironflesh|Uthållighet
skl_ironflesh_desc|Varje steg på denna färdighet ökar kroppspoängs med +2. (Personlig förmåga)
skl_reserved_14|Reserverad förmåga 14
skl_reserved_14_desc|Detta är en reserverad förmåga.
skl_reserved_15|Reserverad förmåga 15
skl_reserved_15_desc|Detta är en reserverad förmåga.
skl_reserved_16|Reserverad förmåga 16
skl_reserved_16_desc|Detta är en reserverad förmåga.
skl_reserved_17|Reserverad förmåga 17
skl_reserved_17_desc|Detta är en reserverad förmåga.
skl_reserved_18|Reserverad förmåga 18
skl_reserved_18_desc|Detta är en reserverad förmåga.
