skinkey_chin_size|Hakstorlek
skinkey_chin_shape|Hakans form
skinkey_chin_forward|Hakan framåt
skinkey_jaw_width|Käkens bredd
skinkey_jaw_position|Käkbenens position
skinkey_mouth_nose_distance|Distans mellan mun-näsa
skinkey_mouth_width|Munnens bredd
skinkey_cheeks|Kinder
skinkey_nose_height|Näshöjd
skinkey_nose_width|Näsbredd
skinkey_nose_size|Nässtorlek
skinkey_nose_shape|Näsform
skinkey_nose_bridge|Näsrygg
skinkey_cheek_bones|Kindben
skinkey_eye_width|Ögonbredd
skinkey_eye_to_eye_dist|Distans mellan ögon
skinkey_eye_shape|Ögonform
skinkey_eye_depth|Ögondjup
skinkey_eyelids|Ögonlock
skinkey_eyebrow_position|Ögonbrynsposition
skinkey_eyebrow_height|Ögonbrynshöjd
skinkey_eyebrow_depth|Ögonbrynsdjup
skinkey_eyebrow_shape|Ögonbrynsform
skinkey_temple_width|Tinningens bredd
skinkey_face_depth|Ansiktsdjup
skinkey_face_ratio|Ansiktsförhållande
skinkey_face_width|Ansiktsbredd
skinkey_post_edit|Efterredigering
