ui_music_volume|Musikvolym:
ui_sound_volume|Ljudvolym:
; ui_mouse_sensitivity|Mouse Sensitivity:
ui_invert_mouse_y_axis|Invertera musens Y-axel
; ui_enabled|Enabled
; ui_disabled|Disabled
ui_damage_to_player|Skada gentemot spelare:
ui_reduced_to_1_over_4_easiest|Reducerad till 1/4 (lättaste)
ui_reduced_to_1_over_2_easy|Reducerad till 1/2 (lätt)
ui_damage_to_friends|Skada mot allierade:
ui_reduced_to_1_over_2_easiest|Reducerad till 1/2 (lättaste)
ui_reduced_to_3_over_4_easy|Reducerad till 3/4 (lätt)
ui_normal|Normal
; ui_combat_ai|Combat AI:
ui_combat_speed|Stridshastighet:
ui_good|Bra
ui_average_caps|medelmåttig
ui_poor|Dåig
ui_faster|Snabbare
ui_slower|Långsammare
ui_control_block_direction|Kontrollera pareringsriktning:
ui_automatic_recommended|Automatiskt
ui_manual_easy|Manuellt (enkelt)
ui_manual_hard|Manuellt (svårt)
ui_by_mouse_movement|Genom musrörelser
ui_control_attack_direction|Kontrollera attackriktning:
ui_lance_control|Lanskontrollering:
; ui_by_relative_enemy_position|By relative enemy position
; ui_by_inverse_mouse_movement|By inverse mouse movement
ui_battle_size|Stridsstorlek:
ui_show_attack_direction|Visa attackriktning
; ui_show_targeting_reticule|Show Targeting Reticle
; ui_show_names_of_friendly_troops|Show Banners on Friendly Troops
; ui_report_damage|Report Damage
; ui_report_shot_difficulty|Report Shot Difficulty
; ui_difficulty_rating_percentage|Difficulty Rating = %d%%
ui_controls|Kontroller
ui_video_options|Videoinställningar
ui_done|Klart
ui_factions|Faktioner
; ui_item_itemname|Item - %s
; ui_prop_propname|Prop - %s
; ui_unknown_unknownname|Unknown - %s
; ui_entry_point_entrypointname|Entry Point %d
; ui_passage_menu_item_passagename|Passage (menu item %d)
; ui_plant_plantname|Plant - %s
; ui_export_file_for_character_playername_already_exists_overwrite_it|Export file for character %s already exists. Overwrite it?
ui_yes|Ja
ui_no|Nej
ui_set_save_file_name|Ange nytt namn för denna sparning:
ui_enter_new_name|Ange ett nytt namn:
ui_export_character|Exportera karaktär
ui_import_character|Importera karaktär
; ui_character_playername_exported_successfully|Character %s exported successfully.
; ui_character_playername_imported_successfully|Character %s imported successfully.
ui_unable_to_open_import_file|Kund inte öppna importfil.
ui_are_you_sure_you_want_to_import_the_character|Är du säker på att du vill importera karaktären?
ui_unable_to_find_character_import_file|Kunde inte hitta karaktärens importeringsfil.
; ui_mount_and_blade_is_running_in_trial_mode_please_buy_the_game_for_importing_a_character|Mount&Blade is running in trial mode. Please buy the game for importing a character.
; ui_change_skin|Skin
ui_change_hair|Hår
ui_change_hair_color|Hårfärg
ui_change_beard|Skägg
ui_tutorial|Genomgång
; ui_tutorial_face_generator|Adjust your character's face using the buttons and the sliders. To rotate the head, click on it and drag the mouse.
ui_restore|Ladda
ui_cancel|Avbryt
ui_delete|Ta bort
ui_confirm_delete_game|Är du säker på att du vill ta bort denna sparning?
ui_error_removing_file|Fel vid borttagning av fil...
; ui_day_datedisplay|Day %d (%d:%d%d)
ui_reset_changes|Återställ ändringar
ui_weapon_proficiencies|Skickligheter
ui_skills|Färdigheter
ui_attributes|Attributer
ui_enter_name_here|*Ange namn här*
ui_edit_face|Klicka för att redigera ansiktet
ui_statistics|Statistik
ui_next|Nästa
ui_prev|Föregående
ui_learn|Lär
ui_question_saving_policy|Vilka sparningsregler vill du ha?
ui_saving_policy_realistic|Realistiska! Ingen lämning utan sparning!
ui_saving_policy_nonrealistic|Låt mig lämna spelet utan att behöva spara.
; ui_tutorial_character_generation|Now enter your name and distribute your attribute, skill and weapon points. You can click on various elements on the screen to learn how each one will affect your character.
ui_str|STYRKA
; ui_agi|AGI
ui_int|INTELLIGENS
ui_cha|KARISMA
; ui_at_learning_limit|(At learning limit)
; ui_not_enough_skill_points_to_learn|(Not enough skill points to learn)
ui_strength|Styrka
; ui_agility|agility
ui_intelligence|Intelligens
ui_charisma|Karisma
; ui_not_enough_attributetype_to_learn_this_skill|(Not enough %s to learn this skill)
; ui_explanation_one_handed_weapon|Covers usage of one handed swords, axes and blunt weapons.
; ui_explanation_two_handed_weapon|Covers usage of two handed swords, great axes and mauls.
; ui_explanation_polearm|Covers usage of pole weapons like spears, lances, staffs, etc.
; ui_explanation_archery|Covers usage of bows.
; ui_explanation_crossbow|Covers usage of crossbows.
; ui_explanation_throwing|Covers usage of thrown weapons like javelins, darts, stones etc.
; ui_explanation_firearms|Covers usage of pistols and muskets.
; ui_explanation_strength|Strength: Every point adds +1 to hit points. The following skills can not be developed beyond 1/3 of Strength: ironflesh, Power-strike, Power-throw, Power-draw.
; ui_explanation_agility|Agility: Each point gives five weapon points and slightly increases movement speed. The following skills can not be developed beyond 1/3 of Agility: weapon-master, Shield, Athletics, Riding, Horse archery, Looting.
; ui_explanation_intelligence|Intelligence: Every point to intelligence immediately gives one extra skill point. The following skills can not be developed beyond 1/3 of Intelligence: Trainer, Tracking, Tactics,  Path finding, Spotting, Inventory Management, Wound treatment, Surgery, First-aid, Engineer, Persuasion.
; ui_explanation_charisma|Charisma: Each point increases your party size limit by +1. The following skills can not be developed beyond 1/3 of Charisma: Prisoner Management, Leadership, Trade.
; ui_level|Level: %d
; ui_xp|Experience: %d
; ui_next_level_at|Next level at: %d
; ui_health_player|Health: %d/%d
; ui_health|Health: %d
; ui_attribute_points|Attribute points: %d
; ui_skill_points|Skill points: %d
; ui_weapon_points|Weapon points: %d
ui_mission_losses_none|Ingen.
ui_mission_losses_wounded|skadade :
ui_mission_losses_killed|dödade :
; ui_party_losses|%s  : %d wounded --- %d killed of %d.
; ui_casualties_sustained|Casualties sustained:
; ui_advantage_change|Advantage change = %c%d 
; ui_overall_battle_casualties|Overall battle causalties:
; ui_advantage_outnumbered| You are hopelessly outnumbered.
; ui_advantage_major_disadvantage| You have a major disadvantage.
; ui_advantage_slight_disadvantage| You are slightly disadvantaged.
; ui_advantage_balanced| The situation is balanced.
; ui_advantage_fair_advantage| You have a fair advantage for winning.
; ui_advantage_greatly_favored| The odds of battle favor you greatly.
; ui_tactical_advantage|Tactical advantage: %d (%s)
; ui_order_group|Order group:
; ui_question_save_changes|You have made changes to the objects. Do you want to save changes?
; ui_yes_save|Yes, save
; ui_no_discard_changes|No, discard changes
ui_everyone_control|Allihopa!
; ui_everyone_around_control|Nearby Soldiers!
ui_others_control|Andra!
ui_question_give_up_fight|Ge upp striden?
ui_give_up|Ge upp
ui_keep_fighting|Fortsätt slåss
ui_question_leave_area|Lämna område
; ui_cant_retreat_there_are_enemies_nearby|Can't retreat. There are enemies nearby!
; ui_question_retreat_battle|Retreat battle?
; ui_retreated_battle|%s has been routed.
; ui_retreated_battle|%s has been routed.
; ui_retreat|Retreat
ui_talk|Prata
ui_duel|Duellera
ui_mount|Bestegra
; ui_riding_skill_not_adequate_to_mount|(Riding skill not adequate to mount)
; ui_dismount|Dismount
ui_exit|Lämna
ui_door_to|Dörr till
ui_open|Öppna
; ui_equip|Equip
ui_baggage|Bagage
; ui_access_inventory|Access inventory
ui_chest|Kista
; ui_passage|Passage
; ui_go|Go
; ui_retreat_battle|Retreat Battle
; ui_leave_area|Leave Area
; ui_reports|Reports
ui_camp|Läger
ui_terrain|Terräng
ui_quests|Anteckningar
ui_inventory|Inventarie
ui_character|Karaktär
ui_party|Gruppmedlemmar
ui_paused|Pausat
ui_click_left_button_to_cancel_wait|Väntar... (vänsterklicka för att återgå)
ui_midnight|Midnatt
; ui_late_night|Late night
; ui_dawn|Dawn
; ui_early_morning|Early morning
ui_morning|Morgon
; ui_noon|Noon
ui_afternoon|Eftermiddag
ui_late_afternoon|Sen eftermiddag
; ui_dusk|Dusk
ui_evening|Kväll
ui_midnight|Midnatt
; ui_level_limit_reached|Level Limit Reached!
; ui_explanation_level_limit|Hail Adventurer, Mount&Blade has not been activated yet and is running in trial mode. In this mode, the game is limited to Level 8. In order to continue playing, please restart the game and activate it with your 16-digit serial key which is included in your boxed copy. After activating, you can continue playing right from here. Now, Mount&Blade will save your game and exit.
; ui_time_limit_reached|Time Limit Reached!
; ui_explanation_time_limit|Hail Adventurer, Mount&Blade has not been activated yet and is running in trial mode. In this mode, the game is limited to 30 game days. In oder to continue playing, please restart the game and activate it with your 16-digit serial key which is included in your boxed copy. After activating, you can continue playing right from here. Now, Mount&Blade will save your game and exit.
; ui_target_lost|Target lost
ui_waiting|Väntar.
ui_travelling_to|Reser mot
ui_following|Följer
ui_accompanying|Följer med
ui_running_from|Springer från
ui_patrolling|Patrullerar
ui_patrolling_around|Patrullerar runt
ui_holding|Gör uppehåll
ui_travelling|Reser
ui_fighting_against|Slåss mot
; ui_speed_equals|Speed = %2.1f
ui_defenders|Garnison:
ui_prisoners|Fångar:
ui_1_hour|1 timme
; ui_n_hours|%d hours
; ui_between_hours|%d - %d hours
; ui_combatants|Combatants: %d
; ui_party_size|Party size: %d
; ui_party_size_between|Party size: %d - %d
ui_merchant|Handelsman
ui_return|Återvänd
ui_no_cost|Ingen kostnad
ui_rename|Döp om
ui_use|Använd
ui_destroy|Förstör
; ui_destructible_target|Destructible target
; ui_tutorial_inventory|This is the trade screen. Hold down control key while clicking on an item to quickly purchase or sell it.
; ui_head_armor|Head Armor: %d
; ui_body_armor|Body Armor: %d
; ui_leg_armor|Leg Armor: %d
; ui_encumbrance|Encumbrance: %2.1f
; ui_you_dont_have_value|You don't have %s.
; ui_merchant_cant_afford_value|%s: I can't afford %s. I have only %s.
; ui_merchant_pay_whatever|Allright, just pay whatever you can.
; ui_merchant_think_of_something_else|Hmm. Let us think of something else.
; ui_dumping_value_items|%d items will be permanently lost, are you sure?
; ui_dumping_value_item|One item will be permanently lost, are you sure?
; ui_question_slaughter_food_and_eat|Slaughter this %s and eat it?
; ui_money_value|Money: %s
; ui_dump|Discard
; ui_outfit|Outfit
; ui_arms|Arms
ui_horse|Häst
ui_food|Mat
