fac_no_faction|Taraf Yok
fac_commoners|Halk
fac_outlaws|Haydutlar
fac_neutral|Tarafsız
fac_innocents|Suçsuz
fac_merchants|Tüccarlar
fac_player_faction|Oyuncu Birliği
fac_player_supporters_faction|Oyuncunun Destekçileri
fac_kingdom_1|Svadya Krallığı
fac_kingdom_2|Vaegir Krallığı
fac_kingdom_3|Kergit Kağanlığı
fac_kingdom_4|Nord Krallığı
fac_kingdom_5|Rodok Krallığı
fac_kingdom_6|Sarranid Sultanlığı
fac_manhunters|İnsanAvcıları
fac_deserters|Çöl Kaçakları
fac_mountain_bandits|Dağ Haydutları
fac_forest_bandits|Orman Haydutları
fac_ccoop_all_stars|Bütün Yıldızlar
